neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
De Pijp - Rivierenbuurt,Entire home/apt,113,3,126,1.21,1,3,3,The area features a place of worship at Arrahman and dining options including the French restaurant Le Hollandais.
De Baarsjes - Oud-West,Private room,70,2,411,3.56,1,283,13,The area features a garden and a picnic table.
Centrum-West,Entire home/apt,171,3,35,0.65,1,0,4,"The area features a variety of dining options including De Drie Graefjes, De Pannenkoekerij, Simit Sarayi, FEBO, McDonald's, Burger King, Subway, and Ice Bakery, alongside retail shops like H&M, Foot Locker, Nelson Schoenen, Manfield, Swarovski, KIKO, ICI PARIS XL, Pink Gellac, Pop Mart, and Cheese & More. Dam is a central landmark that serves as the historic heart of the city, while Amsterdam nightlife ticket and Amsterdam Seed Center provide specialized services for visitors."
Centrum-Oost,Entire home/apt,299,3,60,0.66,1,165,0,"The area features retail options including Azarius and House of Smart, alongside cultural and community spaces such as Slewe Gallery and Wijkcentrum d'Oude Stadt. Keizersgrachtkerk serves as the local place of worship."
Centrum-West,Entire home/apt,600,2,62,0.54,1,362,0,"The area features a school called Theo Thijssenschool, alongside a playground and a table tennis pitch."
Oud-Noord,Entire home/apt,170,4,20,0.26,1,0,0,"The area features dining options such as Isken and Domino's, alongside retail and services like Bike Laboratory. The surroundings also include a garden, which serves as a local green space for the community."
Westerpark,Entire home/apt,250,26,1,0.01,3,299,0,"The area features the Gevallen Engel, an artwork that serves as a notable local landmark."
De Pijp - Rivierenbuurt,Private room,65,1,464,5.18,1,154,31,"The area features a playground, a garden, and a soccer pitch, alongside The Royal Treatment for shoe repair."
Centrum-Oost,Entire home/apt,120,14,84,0.84,1,33,2,The area features a park.
Centrum-West,Private room,125,2,445,4.02,2,349,24,"The area features dining and cafes such as American Bar-bq, Anco, Cafe Pleinzicht, and Koffieschenkerij, alongside retail and services including Life is So Sweet, Star Shop, Brutus Bros, and Erotic Shop. Cultural landmarks include Oude Kerk, a historic church central to the district, and museums like Erotisch Museum and Red Light Secrets, which offer insight into local history, while nightlife and adult entertainment options include Bananenbar, Casa Rosso, Casino City, Excalibur, Les Deux Frêres, New Castle Bar, Old Sailor, The Tabernacle, and de Wallen."
Westerpark,Private room,81,3,362,3.33,1,337,8,The area features a garden and a playground.
Centrum-Oost,Entire home/apt,843,2,113,1.34,2,256,0,"The area is defined by the museum Werf 't Kromhout, a historic shipyard that serves as a significant landmark for maritime heritage."
Westerpark,Entire home/apt,250,3,64,0.64,1,99,3,"The area features recreational facilities including a playground and a boules pitch, alongside the artwork Apentafel."
Centrum-Oost,Private room,118,3,414,3.88,2,219,5,"The area is defined by the Zuiderkerk and the Zuiderkerkstoren, which are significant historical landmarks known for their iconic 17th-century architecture and role in the city skyline."
De Baarsjes - Oud-West,Entire home/apt,110,3,2,0.04,1,0,0,"The area features the Gurdwara Maan Sarovar Sahib, a place of worship, alongside the NJMT - Nationaal Jeugd Musical Theater, a college dedicated to performing arts."
Centrum-West,Entire home/apt,399,2,52,0.48,1,103,4,"The area features dining and cafes such as Argus and Diep, alongside retail options like Vintage Clothes & Design and the antiques shop Kabouter. Cultural highlights include the attraction Stadspaleis, the venue Theater De Richel, and the historic Postzegelmarkt, while the surroundings also offer the Postzegelpark, a playground, the Nova Hotel, and outdoor seating."
Centrum-Oost,Private room,77,1,901,8.2,1,301,154,"The area features a social facility known as Sarphatihuis, which serves as a historic residential care center. It is situated near a garden, providing a quiet green space for the community."
De Pijp - Rivierenbuurt,Entire home/apt,180,1,92,0.88,1,0,0,The area features a school called De Avonturijn and a garden.
Centrum-Oost,Private room,132,2,44,0.63,2,236,0,"The area features Medisch Centrum Wetering for healthcare needs and a garden, providing a quiet green space for the neighborhood."
De Baarsjes - Oud-West,Entire home/apt,120,4,82,0.92,1,0,2,"The area features various sports facilities including a field hockey pitch, a table tennis pitch, a basketball pitch, and two playgrounds. Balboaplein serves as a local garden and community space."
Centrum-West,Entire home/apt,210,4,60,0.57,1,78,2,"This area features dining and retail options including Sonkran, Slagerij Rief, and Staverno Nassaukade. The surroundings also include the gallery Marjan de Voogd Porcelain and the marina De Schans, which serves as a notable waterfront hub for the local community."
De Baarsjes - Oud-West,Entire home/apt,130,3,76,0.82,1,69,4,"The area features dining and nightlife options such as Café Cook and Proeflokaal Vesp, alongside retail staples like Marco's Groentespeciaalzaak and Etos. Tuin van Jan serves as a local garden and playground, providing a green space for community recreation."
Watergraafsmeer,Entire home/apt,140,3,43,0.54,1,130,0,The area features a garden.
IJburg - Zeeburgereiland,Entire home/apt,135,5,83,0.8,1,344,2,This area features a playground.
Osdorp,Private room,80,2,155,1.7,2,308,0,The area features a basketball pitch and a playground for outdoor recreation.
Bijlmer-Centrum,Private room,46,1,408,4.16,1,329,17,The area is home to the nursing home De Venser.
Bos en Lommer,Entire home/apt,75,3,76,0.9,1,0,0,"The area is primarily residential, anchored by the Multatulischool."
Oud-Oost,Entire home/apt,295,4,10,0.19,1,325,0,There are no specific places listed to describe.
De Pijp - Rivierenbuurt,Entire home/apt,120,4,42,0.44,1,38,0,The area features a garden.
Zuid,Entire home/apt,399,2,30,0.3,1,72,0,The area features retail options such as Suitsupply.
Centrum-Oost,Entire home/apt,250,2,38,0.61,1,0,0,"The area features the zoo Artis, a significant landmark known for its historical gardens and diverse animal exhibits, alongside the restaurant De Waterkant."
Bos en Lommer,Private room,108,3,316,3.21,1,220,2,"The area features dining options including Biladi, Rue de sevres, Wanica Exotics, and Warung Kamal Afhaalcentrum, alongside retail and service spots like Etos, LA CHIC, Martins avondwinkel, and Mimi Kapsalon. The local garden serves as a notable green space for the neighborhood."
De Baarsjes - Oud-West,Entire home/apt,155,2,3,0.03,1,263,1,"The area features healthcare services including Gezondheidscentrum Borgerstraat, Tandartsengroep Borgerstraat, Pearle, and Specsavers. Retail options are represented by Norah."
Oud-Noord,Private room,59,4,97,1.05,1,123,0,"The area features the Moeshoek garden, which serves as a local green space."
Oud-Oost,Private room,140,1,124,1.37,3,247,0,"The immediate surroundings feature a garden, a playground, and a public bookcase."
Centrum-Oost,Entire home/apt,135,3,56,0.7,1,105,2,"The area features a camera shop called Analogue. It also includes a viewpoint, which serves as a notable local attraction for taking in the surroundings."
Zuid,Entire home/apt,300,7,5,0.06,1,212,0,"The area features sports facilities including the Tenniseiland tennis pitch and sports centre, as well as the multi sports_centre Witte Huis. Park de Schinkeleilanden is a local park that provides green space for the neighbourhood."
Noord-Oost,Private room,77,2,130,1.29,10,247,6,The area features a guest house known as Gypsy Waggon.
Westerpark,Entire home/apt,220,1,7,0.18,1,0,0,"This area features a garden, which serves as a local green space for outdoor recreation."
De Pijp - Rivierenbuurt,Entire home/apt,285,1,64,0.9,1,44,5,"The area features dining and retail options such as Anook Bakehouse, The Breakfast Club, and Jonkmans Bloemenhandel. You will also find wellness services at Massage Ying Ying, alongside a local garden and playground."
De Baarsjes - Oud-West,Entire home/apt,150,2,75,0.82,1,148,5,The area features a garden.
Centrum-West,Entire home/apt,210,4,54,0.92,2,294,2,"The area features a bakery at Bunbun and a local medical practice at A.N.M. van Grunsven & F.X.W.M. Hofman. It is also home to Noordermarkt, a historic marketplace that serves as a central hub for the neighborhood."
Centrum-West,Entire home/apt,153,2,66,0.91,1,0,0,"The area features a variety of dining options including Ashoka, Curry Express, La Bettola, and Made in Sud, alongside local pubs like De Denneboom and De Buurman. You will also find retail and service establishments such as Gays & Gadgets, Hairtrends & Beauty, Boudewijn Veltman, and Hotelbikes, as well as accommodations like Budget Hotel Tourist Inn, Hotel Tourist INN, and The Palace."
Oud-Oost,Entire home/apt,150,2,42,0.48,1,85,0,"The area features dining options including Bam Boa, Troef, and Weesper, with outdoor seating available at Bam Boa. The surroundings also include a garden at Bam Boa."
De Pijp - Rivierenbuurt,Private room,70,2,279,2.99,1,332,4,"The area features 6e Montessorischool Anne Frank, which serves as a notable local educational institution. The surroundings also include a garden."
Zuid,Private room,63,1,406,4.55,2,5,25,The area features a garden.
Zuid,Entire home/apt,475,4,65,0.87,1,18,2,"The area features a variety of retail options including clothing stores like Ba&sh, Canada Goose, Cavallaro Napoli, Elisabetta Franchi, G-Star Raw, Profuomo, Stone Island, and Woolrich, alongside jewelry and gift shops such as Schaap en Citroen and The A'dam Giftshop. Dining and nightlife are represented by the Indonesian restaurant Sama Sebo and the pub De Posthoorn, with accommodations provided by Hotel Cornelisz and Hotel Museumzicht."
Centrum-Oost,Entire home/apt,397,3,48,0.62,1,2,4,"The area features services such as Alphega Apotheek, Autobedrijf Wassenberg, and the school De Kleine Reus. Cultural and creative spaces include the art gallery Atelier Hop and the studio space Studio AnnaMora, alongside the Euphemia Budget Hotel."
De Pijp - Rivierenbuurt,Entire home/apt,220,3,62,0.67,1,188,0,The area features a garden.
Noord-West,Private room,75,2,245,2.63,1,286,8,"The area features NoordRijk, a playground that serves as a local recreational space for the community."
Oud-Noord,Entire home/apt,180,3,95,1.02,1,53,4,The area features a single piece of artwork.
Centrum-West,Private room,50,2,226,2.55,1,314,13,There are no specific places listed to describe the surroundings.
Westerpark,Entire home/apt,122,4,52,0.55,1,2,2,The area features dining and nightlife options such as Robin Food Kollektief and De Nieuwe Anita. The neighborhood also includes a garden.
Oud-Oost,Entire home/apt,170,1,31,0.65,2,0,0,The area features the educational institution Havo De Hof and the dining establishment Mi-Gudu.
Oud-Noord,Entire home/apt,557,2,4,2.35,2,32,4,"The area features a marina at Sixhaven, which serves as a central hub for boating and waterfront activity. There is also a garden nearby."
De Pijp - Rivierenbuurt,Entire home/apt,400,2,35,0.4,1,363,4,"This area features a diverse retail scene including clothing and accessory boutiques like 7115 by Szeki, Anna+Nina, Baskèts, LOVE Stories Archive, and Second Life, alongside interior decoration and specialty shops such as All The Luck In The World, Living-in By Romy's, and Phoenix Verf- & Glasspecialisten. Dining and social options include Italian restaurants Spaghetteria and Carletto, the French restaurant Zaza's, and the Coffeeshop Club Media, complemented by personal services like iV Salon and the tattoo studio Inkorporated."
Slotervaart,Private room,150,2,41,0.44,3,317,1,"The area is defined by Sloterpark, a large public park that serves as a central green space for outdoor recreation."
Noord-West,Entire home/apt,130,4,12,0.14,1,236,0,The area features a Viskraam for seafood and a picnic_table for outdoor seating.
De Pijp - Rivierenbuurt,Entire home/apt,230,3,29,0.45,1,0,0,The area features a garden.
De Baarsjes - Oud-West,Entire home/apt,150,14,10,0.11,1,158,0,"The area is centered around the arts centre De Nieuwe Liefde, a prominent cultural venue known for hosting literary events and public debates."
De Baarsjes - Oud-West,Entire home/apt,130,4,76,0.85,1,11,0,"The area features a variety of dining options including Wanica Exotics, Warung Kamal Afhaalcentrum, Tandoori 2 Go, Biladi, and Rue de sevres. Retail and services are represented by Albert Heijn, Chris Bloemsierkunst, SandyBloemen.nl, and George de Jong Optiek."
Oud-Noord,Entire home/apt,350,2,2,0.04,1,169,0,The area features a garden.
Bos en Lommer,Entire home/apt,75,3,19,0.45,1,0,2,"The area features Erasmuspark, a park and garden that serves as a central green space for local recreation."
Oud-Oost,Entire home/apt,102,7,19,0.21,1,0,1,The area features a garden.
Zuid,Entire home/apt,466,3,20,0.26,1,7,1,"The area features public green spaces and recreation, including the garden Jacob Obrechtplein and a playground. It also hosts the place of worship Raw Aron Schuster Synagoge, which serves as a significant local religious landmark."
Centrum-West,Entire home/apt,175,2,70,0.76,2,0,0,"The area features a variety of dining options including Ko Chang, Hinata, Schout bij-nacht, Terre Lente, and La maison de sophie, alongside retail shops such as Albert Heijn, Kilo, Mechanisch Speelgoed, Petopia, The Browbarber, and De Gouden Scaar. It is also home to the Lapjesmarkt, a well-known market that serves as a historic and vibrant hub for textile shopping in the neighborhood, and World of Nix."
Centrum-West,Entire home/apt,250,3,33,0.43,1,37,4,"The area is a hub for creative and performing arts, featuring dance and music instruction at Buenos Aires Tango, Pasito, and Kim Sutherland. The Loft and Zeni's Art serve as the local arts centre and gallery, providing spaces for artistic practice and exhibition."
Oud-Oost,Entire home/apt,170,12,7,0.27,1,0,0,"The area features recreational facilities including a Cruyff Court, which serves as a dedicated soccer pitch for local sports and community activity. The surroundings also provide a fitness fitness_station, a garden, a table_tennis pitch, and a playground."
De Pijp - Rivierenbuurt,Private room,79,2,66,0.92,1,277,7,The area features sports facilities including Sportcentrum De Pijp and Sporthal de Pijp.
De Baarsjes - Oud-West,Private room,89,3,57,0.73,1,166,5,"The area features dining and cafe options including Ashoka kinker, Dr. Falafel, and Cafecito. You will also find Orange Copy for your printing and document needs."
Zuid,Entire home/apt,215,2,21,0.28,1,183,0,"The area features dining and retail options such as Best Bread Boba, Solo, and De Bijbel: het woord van God. It is anchored by the Concertgebouw, a world-renowned concert hall, and Museumplein, a major cultural hub that hosts several of the city's most significant art institutions."
Slotervaart,Private room,35,2,286,3.09,3,128,10,"The area is defined by Rembrandtpark, a significant green space that serves as a central recreational hub for the neighborhood."
Centrum-Oost,Private room,101,2,66,0.72,1,11,42,"The area features a variety of dining options including Japan Inn, Moshi Moshi, Poké Perfect, Karma Kebab, Los Argentinos, Granada, and Zorba de Griek, alongside social spots like De Biertuin Prinsengracht and Bourbon Street Music Club. Cultural interest is provided by the Pijpenkabinet and Amsterdam Pipe Shop, which are notable for their unique collection of historical smoking pipes, while daily needs are served by NICOLE, Luk's schoenmakerij, and a tobacco shop, with accommodation available at Hostel Centre and Orfeo Hostel."
Centrum-West,Entire home/apt,180,2,38,0.68,1,37,0,"The area features Café Tabac, which serves as a local cafe. Nearby, you will find artwork and information."
De Pijp - Rivierenbuurt,Entire home/apt,200,3,38,0.42,1,0,0,"The area features cultural venues such as CC Amstel, Cinetol, Cultuurhuis Diamantslijperij, and OBA CC Amstel, alongside the artwork Revisiting The Cullinan. Guests can also find dining and accommodation at Archive by Pestana and Pestana Amsterdam Riverside."
De Baarsjes - Oud-West,Entire home/apt,165,2,25,0.28,1,154,0,"The area features dining and retail options including Mook pancakes, IJscuypje, Bilder & de Clercq, and Flowers & Powers. These spots provide a mix of casual eateries, a dessert shop, a grocery store, and a florist."
De Baarsjes - Oud-West,Entire home/apt,120,4,42,0.48,1,0,2,"The area features a mix of retail and dining options including the florist Bloemenhoek Admiraal, the grocery service Gorillas, and Buongiorno Espressobar, which offers outdoor seating. Natuurtuin Slatuinen serves as a local garden, providing a quiet green space for the community."
Oud-Oost,Entire home/apt,120,2,15,0.18,1,127,0,"The immediate surroundings feature an artwork, a playground, and a garden."
De Baarsjes - Oud-West,Entire home/apt,199,2,16,0.3,1,0,4,"The area features l'Affiche, a local pub."
Oud-Noord,Entire home/apt,99,3,58,0.65,1,8,1,"The area features a school known as Taalschool, alongside a playground and a garden."
Westerpark,Entire home/apt,241,2,30,1.76,1,0,3,"The area features daily essentials including the supermarket Albert Heijn and the convenience store Yassmin, alongside services such as Slagerij Tuana, Dierenkliniek Amsterdam - Frederik Hendrikstraat, and a hairdresser. Leisure options are represented by Coffeeshop de Supermarkt."
De Aker - Nieuw Sloten,Private room,57,2,361,4.04,1,197,32,The area features a playground at Speeltuin Sloten and a place of worship at Sloterkerk. Sloterkerk is a historic landmark that serves as a central point of heritage for the community.
De Pijp - Rivierenbuurt,Private room,100,3,433,4.82,1,58,29,The area features the gallery Fabric Inspired X Artitude alongside the hotels Ibis Styles Amsterdam Amstel and Ibis Styles Amsterdam City.
Westerpark,Entire home/apt,145,3,27,0.31,1,14,0,The area is defined by the presence of a garden.
De Baarsjes - Oud-West,Entire home/apt,90,6,30,0.34,1,0,0,The area features a playground and a public bookcase.
Westerpark,Entire home/apt,200,2,10,0.11,1,0,0,"The area features dining and nightlife at Rainarai and TonTon Club Westergas, alongside the educational Vinseschool. Westerpark and Westergasfabriek serve as key local landmarks, providing significant green space and a cultural hub for the community."
Oud-Noord,Entire home/apt,130,3,13,0.21,1,137,2,The surroundings feature a garden.
Watergraafsmeer,Private room,55,2,41,0.51,2,337,0,"The area features the Vergulden Eenhoorn, a historic garden and pub that serves as a central social landmark for the neighborhood."
De Pijp - Rivierenbuurt,Entire home/apt,130,3,33,0.49,1,0,0,"The area features diverse dining options including FEBO, Chef Juzzev, Meng Si, Yu Fung, and Pizza Beppe, alongside retail and services like Ace & Tate, Grapedistrict, Ido's Cutting Crew, Look Ahead, and a massage studio. Cultural and leisure spots include the garden Het Kabinet, the gallery Wim Heldens Atelier/Studio, and Coffeeshop Carmona."
Centrum-Oost,Private room,105,1,331,3.86,2,0,0,The area features cultural institutions including Museum Van Loon and Museum of Illusions. Museum Van Loon is a historic canal house museum that offers insight into 17th-century architecture and family history.
Centrum-West,Private room,65,2,494,5.62,2,185,24,"The area features a variety of dining options ranging from Asian restaurants like Ashoka, SUMO, and Takumi Ramen to Italian spots such as Sapore Italiano and Savini, alongside burger and regional restaurants like Day's Foodbar, Gauchos, Toro Dorado, and Van Speyk. You will also find nightlife at Bitterzoet and Koepelcafé, retail at Souvenier Supermarket, and services including King Bikes, Joya, and CIMA, with accommodation provided by Renaissance Amsterdam Hotel and Sint Nicolaas."
Oostelijk Havengebied - Indische Buurt,Entire home/apt,80,2,54,0.84,1,0,0,"The area features recreational facilities including a soccer pitch, a basketball pitch, a boules pitch, a garden, and a chess picnic_table. Cruyff Court Sjaak Swart serves as a local landmark, providing a dedicated space for community sports and outdoor activity."
Watergraafsmeer,Private room,74,2,256,2.93,1,351,18,The area is defined by a garden.
De Baarsjes - Oud-West,Entire home/apt,236,3,11,0.14,1,9,4,"The area features a variety of dining and retail options, including cafes like Cafe Topido, Fika Amsterdam, and Sam's Coffee, alongside bakeries and specialty shops such as Ad Straathof Marktbakkerij, Abraham Bloemen & Planten, and Blooming Interior. You will also find local nightlife and shopping at Bar Centraal, Harchane, EFFECT(S), and A. Mog Tweedehands, centered around the Ten Katemarkt, a prominent local market that serves as a primary hub for neighborhood commerce."
Oud-Noord,Entire home/apt,175,3,28,0.33,1,0,3,There are no specific places listed to describe the surroundings.
Zuid,Entire home/apt,168,2,32,0.49,1,95,2,"The area features Olympiaschool, which serves as the local educational institution. There is also a playground located nearby."
Westerpark,Private room,126,2,101,1.2,1,70,21,"The area features dining and culture at BAK and Het Veem Theater, alongside professional amenities including the coworking space Werkgebouw Het Veem. Daily needs are supported by the pharmacy Apotheek Amsterdam and the retail services of Profilex."
Noord-West,Private room,53,2,96,1.4,3,176,3,The area features healthcare services including Tandartsenpraktijk Goos and Mondhygiëniste Praktijk Jolanda Heerschop. There is also a garden.
Centrum-West,Entire home/apt,225,3,38,0.49,1,195,2,"The area features diverse dining options including Assaggi, Donna Sofia, La Fiorita, La Oliva Pintxos y Vinos, La Perla, Oogst, Rosario, Smoked crispy bacon sandwich house, Tanoshii sushi, Yan Yan, and Bar Pif, alongside Café de Tuin and Tom's bread & more. Retail and services include Babylon Vintage, Kimzou, Second Hand by Sam Sam, Serekunda, Vindit Vintage, piselli boutique, t' Pareltje, Gems, Het Oud-Hollandsch Snoepwinkeltje, The Beauty Bar, kleine kanjer, and Studio Nelson Carrilho, with cultural enrichment provided by the gallery What Art Can Do, the arts_centre, and the Theo Thijssenschool."
Centrum-Oost,Entire home/apt,185,3,36,0.47,1,2,3,The area features dining at John Dory and fitness facilities at Bodyvita.
De Baarsjes - Oud-West,Entire home/apt,200,3,28,0.65,1,36,2,"The area features recreational spaces including a playground and a soccer pitch, alongside the childcare facility Partou. Bilderdijkpark serves as a local park, providing a central green space for the neighborhood."
Zuid,Entire home/apt,225,1,5,0.06,1,365,0,The area features a garden.
De Pijp - Rivierenbuurt,Entire home/apt,164,3,44,0.55,1,0,1,The area features the regional restaurant ctaste and the school Individueel Voortgezet Kunstzinnig Onderwijs.
Centrum-Oost,Entire home/apt,120,2,25,0.3,1,0,0,"The area features the Touwbaanpark, a local park that serves as a green space for the community, alongside the Bandenboot, an artwork that provides a distinct visual focal point for the surroundings."
De Baarsjes - Oud-West,Entire home/apt,361,3,9,0.11,1,7,5,"The area features a variety of dining options including Seoul Food, Vegitalian, Mount Everest, Brioche, and Corner Inn. Retail and services are well-represented by shops like SuperBra, Xenos, Wildernis, Vitaminstore, Discovery, Gallery 3, Indianaweg, Ja &Ro, Larry's, Mensink, Musscher, Dany, Postkantoor West, Massage Salon Oranje, and Avondwinkel Hapje."
Centrum-Oost,Private room,60,2,195,2.39,4,7,34,"The area is defined by the Deutsche Seemannsheim Amsterdam Guesthouse Keizersgracht, which serves as a historic guesthouse for seafarers located along the city's canal belt."
De Baarsjes - Oud-West,Entire home/apt,248,4,32,0.47,1,154,1,"The area features the pub l'Affiche and the artwork Aquacosta, which serves as a notable local landmark. A public_bookcase is also available for community use."
Bos en Lommer,Entire home/apt,268,4,27,0.4,1,0,0,"The area features a playground, a soccer pitch, and a garden."
Oud-Oost,Private room,216,3,24,0.44,3,287,6,"The area features a garden, a playground, and a public bookcase."
Westerpark,Entire home/apt,175,3,15,0.27,1,0,0,The area features the Speeltuin playground and the Westerparkschool. A garden is also located nearby.
Centrum-West,Entire home/apt,160,1000,38,0.72,1,12,6,"The area features dining and pastry options like Café R. de Rosa, Tiramisúp, and Les petits canelés, alongside a deli at Roquebrun. Retail and lifestyle services include the antiques shop Ditjes & Datjes, the clothing store OJAI, and the bar Reverse, which also offers beauty services."
Centrum-Oost,Private room,207,1,14,0.2,2,135,2,The area features health and wellness services including Huisartsenpraktijk M.F. Huijgen and The City Street Spa. Local recreation is provided by the playground at Kokadorus.
Centrum-West,Private room,189,3,79,1.04,1,340,13,"The area features a variety of retail shops including clothing stores like COCO, Jutka & Riska, Number Nine, Lova, and Sam Sam, alongside specialized spots such as Hooks & Yarn, Affaire d'eau, and Schaak- en Go-winkel Het Paard. Dining and nightlife options include The Movies cinema, the bakery Bakkerij Mediterrane, the pastry shop Zoet & Hartig, and restaurants like Ristorante Pizzeria Toscana, Toscana, a Volo!, and De Dijk. The area also hosts the attraction (IM)MATERIAL, which serves as a notable cultural destination."
Centrum-Oost,Entire home/apt,525,3,35,0.49,1,0,0,"The area features a school and a playground, alongside De Witte Olifant, which serves as a notable viewpoint offering a distinct perspective of the surroundings."
Centrum-West,Entire home/apt,150,3,93,1.17,1,111,7,"The area features the theatre De Toneelmakerij, which serves as a notable cultural venue for contemporary stage productions."
Westerpark,Entire home/apt,175,3,66,0.85,1,0,3,"The area features a garden, a picnic table, and a playground for outdoor recreation. Kosmos serves as the local restaurant."
IJburg - Zeeburgereiland,Entire home/apt,499,3,11,0.14,1,175,0,"The area features community amenities including the dentist Mondzorg Haveneiland and the school Laterna Magica. Theo van Goghpark serves as the local park and garden space, providing a green landmark for outdoor recreation."
Oud-Oost,Entire home/apt,120,2,5,0.07,4,337,0,"The area is centered around the Amstelcampus university, which features recreational facilities including a soccer pitch, a table tennis pitch, and bleachers."
Centrum-West,Private room,200,2,147,1.92,1,0,0,"The area features a diverse dining scene with options like Amigo, Broodje Mokum, Maijard Smashburgers, Pizza Pasta Steaks, Thaise Afhaal Dong Son, and Wegewijs, alongside coffee and tea at Café Brakke and Simon Lévelt. Retail and services include Blokker, Fabula Rosa, Hope, Mister B, Sneaker District, Tara massage, Theatre de Coiffure, and Toni & Guy, while Oude Wester stands out as a landmark known for its iconic tower and historical significance to the neighborhood."
Oud-Noord,Entire home/apt,100,3,30,0.47,1,0,0,"The area features a garden and a skateboard pitch, complemented by the artwork De muur, which serves as a notable local landmark that defines the character of the space."
Centrum-West,Entire home/apt,600,3,25,0.52,1,69,2,"The area features the attraction Egelantiersgracht, a historic canal known for its picturesque architecture and quintessential Amsterdam atmosphere. There is also a public_bookcase available for local community reading."
De Baarsjes - Oud-West,Entire home/apt,199,4,40,0.59,1,6,0,"The area features dining options including Don Burrito, Focacceria, Muang Thai, Papa John's, and Toasty!, alongside a local cafe, Supervorm. You will also find retail and services such as Clinic Pure, a tailor, and the cannabis shop Coffeeshop Vondel."
Oud-Oost,Private room,69,1,433,5.55,1,32,31,"The area features a garden, a playground, and a community_centre. Tugelahuis serves as a local community_centre, acting as a central hub for neighborhood activities and social gatherings."
Westerpark,Entire home/apt,125,2,5,0.07,1,289,0,"The area features dining and retail options including Toko Hangalampoe, De Republiek, and Bario Market, alongside nightlife and leisure spots like Westerpark Home. It is home to significant landmarks such as Checkpoint Charlie, a historic site marking a Cold War crossing point, and Tegenbeeld, a notable piece of public artwork."
Westerpark,Entire home/apt,97,3,331,4.19,1,121,16,"The area features the garden Florin, a local green space, alongside a hairdresser."
De Baarsjes - Oud-West,Entire home/apt,325,4,16,0.21,1,145,1,"The area features the local pub Janszen and the green space Bilderdijkpark, which serves as a quiet neighborhood park for outdoor recreation."
Oud-Oost,Entire home/apt,121,4,27,0.34,1,111,2,"The area is defined by an academic environment featuring the Amstelcampus, Benno Premselahuis, and Koetsier-Montaignehuis, which serve as the primary university and college facilities. YUSU provides a local cafe setting within this educational hub."
Oud-Noord,Entire home/apt,195,4,32,0.61,1,3,5,"The area is defined by Noorderpark, a local park that provides significant green space and outdoor recreation for the neighborhood."
Westerpark,Entire home/apt,113,3,35,0.46,1,0,0,There are no specific places listed to describe the surroundings.
Centrum-Oost,Entire home/apt,160,3,22,0.32,1,0,0,There are no specific places listed to describe the surroundings.
