neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Slotervaart,Private room,150,2,41,0.44,3,317,1,The area includes a park such as Sloterpark.
Noord-West,Entire home/apt,130,4,12,0.14,1,236,0,"The area includes a seafood restaurant and a picnic table, such as Viskraam."
De Pijp - Rivierenbuurt,Entire home/apt,230,3,29,0.45,1,0,0,There is one garden.
De Baarsjes - Oud-West,Entire home/apt,150,14,10,0.11,1,158,0,"The area features an arts centre, specifically De Nieuwe Liefde."
De Baarsjes - Oud-West,Entire home/apt,130,4,76,0.85,1,11,0,"The area includes a supermarket like Albert Heijn, florists such as Chris Bloemsierkunst and SandyBloemen.nl, restaurants including Biladi, Rue de sevres, and Tandoori 2 Go, a sandwich fast food place called Wanica Exotics, an optician named George de Jong Optiek, an Indonesian fast food place called Warung Kamal Afhaalcentrum, and a garden."
Oud-Noord,Entire home/apt,350,2,2,0.04,1,169,0,There is a garden nearby.
Bos en Lommer,Entire home/apt,75,3,19,0.45,1,0,2,"The area contains a park and a garden, including Erasmuspark."
Oud-Oost,Entire home/apt,102,7,19,0.21,1,0,1,There is a garden nearby.
Zuid,Entire home/apt,466,3,20,0.26,1,7,1,"Nearby places include a place of worship, a table tennis pitch, a garden, and a playground, such as Raw Aron Schuster Synagoge and Jacob Obrechtplein."
Centrum-West,Entire home/apt,175,2,70,0.76,2,0,0,"The area includes a thai restaurant, supermarket, clothes, marketplace, toys, deli, restaurant, furniture, beauty, pet, beverages, tailor, and ramen restaurant, such as Ko Chang, Albert Heijn, Kilo, Lapjesmarkt, Mechanisch Speelgoed, Schout bij-nacht, Terre Lente, World of Nix, The Browbarber, Petopia, De Gouden Schaar, and Hinata."
Centrum-West,Entire home/apt,250,3,33,0.43,1,37,4,"The area includes dancing schools, a studio, a music school, an arts centre, and a gallery, such as Buenos Aires Tango, Kim Sutherland, Pasito, The Loft, and Zeni's Art."
Oud-Oost,Entire home/apt,170,12,7,0.27,1,0,0,"The area includes a soccer pitch, fitness station, garden, table tennis pitch, and playground, such as Cruyff Court."
De Pijp - Rivierenbuurt,Private room,79,2,66,0.92,1,277,7,"The area includes a sports centre, a soccer pitch, a multi sports centre, and a garden, such as Sportcentrum De Pijp and Sporthal de Pijp."
De Baarsjes - Oud-West,Private room,89,3,57,0.73,1,166,5,"Nearby places include a restaurant called Ashoka kinker, a copyshop called Orange Copy, a falafel fast_food called Dr. Falafel, and a coffee cafe called Cafecito."
Zuid,Entire home/apt,215,2,21,0.28,1,183,0,"Nearby places include a bubble tea cafe, a kiosk, a restaurant, a theatre, a picnic table, a parking exit, and a park, such as Best Bread Boba, Concertgebouw, De Bijbel: het woord van God, Museumplein, and Solo."
Slotervaart,Private room,35,2,286,3.09,3,128,10,"The area includes a park, such as Rembrandtpark."
Centrum-Oost,Private room,101,2,66,0.72,1,11,42,"The area includes restaurants, Japanese restaurants, a guest house, an apartment, a Greek restaurant, a kebab fast food, hostels, a bar, a shoe repair, a biergarten, a museum, and a tobacco shop, such as Amsterdam Pipe Shop, Bourbon Street Music Club, De Biertuin Prinsengracht, Granada, Hostel Centre, Japan Inn, Karma Kebab, Los Argentinos, Luk's schoenmakerij, Moshi Moshi, NICOLE, Orfeo Hostel, Pijpenkabinet, Poké Perfect, and Zorba de Griek."
Centrum-West,Entire home/apt,180,2,38,0.68,1,37,0,"Nearby places include a cafe, artwork, and information, such as Café Tabac."
De Pijp - Rivierenbuurt,Entire home/apt,200,3,38,0.42,1,0,0,"The area includes arts centres, a theatre, a library, an artwork, a garden, a restaurant, and a hotel, such as CC Amstel, Cinetol, OBA CC Amstel, Revisiting The Cullinan, Cultuurhuis Diamantslijperij, Archive by Pestana, and Pestana Amsterdam Riverside."
De Baarsjes - Oud-West,Entire home/apt,165,2,25,0.28,1,154,0,"Nearby places include a supermarket, a cafe, an ice cream shop, and a florist, such as Bilder & de Clercq, Mook pancakes, IJscuypje, and Flowers & Powers."
De Baarsjes - Oud-West,Entire home/apt,120,4,42,0.48,1,0,2,"The area includes a florist, a cafe, a garden, outdoor seating, and an outpost, with examples such as Bloemenhoek Admiraal, Buongiorno Espressobar, Natuurtuin Slatuinen, and Gorillas."
Oud-Oost,Entire home/apt,120,2,15,0.18,1,127,0,"There are an artwork, a playground, and a garden nearby."
De Baarsjes - Oud-West,Entire home/apt,199,2,16,0.3,1,0,4,"The area includes a pub, such as l'Affiche."
Oud-Noord,Entire home/apt,99,3,58,0.65,1,8,1,"The area includes a playground, a school named Taalschool, and a garden."
Westerpark,Entire home/apt,241,2,30,1.76,1,0,3,"Nearby places include a garden, a supermarket, a convenience store, a hairdresser, a fast food restaurant, a cannabis shop, and a veterinary clinic, such as Albert Heijn, Coffeeshop de Supermarkt, Dierenkliniek Amsterdam - Frederik Hendrikstraat, Slagerij Tuana, and Yassmin."
De Aker - Nieuw Sloten,Private room,57,2,361,4.04,1,197,32,"The area includes a garden, a playground, and a place of worship, such as Speeltuin Sloten and Sloterkerk."
De Pijp - Rivierenbuurt,Private room,100,3,433,4.82,1,58,29,"The area features hotels such as Ibis Styles Amsterdam Amstel and Ibis Styles Amsterdam City, as well as the gallery Fabric Inspired X Artitude."
Westerpark,Entire home/apt,145,3,27,0.31,1,14,0,There is a garden nearby.
De Baarsjes - Oud-West,Entire home/apt,90,6,30,0.34,1,0,0,The area contains a playground and a public bookcase.
Westerpark,Entire home/apt,200,2,10,0.11,1,0,0,"The area includes a restaurant called Rainarai, a school called Vinseschool, parks including Westerpark and Westergasfabriek, a bar called TonTon Club Westergas, and an arts centre."
Oud-Noord,Entire home/apt,130,3,13,0.21,1,137,2,There is a garden nearby.
Watergraafsmeer,Private room,55,2,41,0.51,2,337,0,"The area includes a pub and a garden, such as Vergulden Eenhoorn."
De Pijp - Rivierenbuurt,Entire home/apt,130,3,33,0.49,1,0,0,"The area includes a garden, an optician such as Ace & Tate, fast food outlets like FEBO and Chef Juzzev, hairdressers including Ido's Cutting Crew and Look Ahead, a cannabis coffee shop called Coffeeshop Carmona, a wine shop named Grapedistrict, a massage studio called Het Kabinet, restaurants including Meng Si, Pizza Beppe, and Yu Fung, a guest house, and a gallery called Wim Heldens Atelier/Studio."
Centrum-Oost,Private room,105,1,331,3.86,2,0,0,The area features a garden and museums including Museum Van Loon and Museum of Illusions.
Centrum-West,Private room,65,2,494,5.62,2,185,24,"The area includes restaurants, Asian restaurants, burger restaurants, gift shops, Argentinian restaurants, Italian restaurants, a nightclub, a Japanese restaurant, bicycle rentals, hotels, regional restaurants, and bars, such as Ashoka, Bitterzoet, CIMA, Day's Foodbar, Gauchos, Joya, King Bikes, Koepelcafé, Renaissance Amsterdam Hotel, SUMO, Sapore Italiano, Savini, Sint Nicolaas, Souvenier Supermarket, Takumi Ramen, Toro Dorado, and Van Speyk."
Oostelijk Havengebied - Indische Buurt,Entire home/apt,80,2,54,0.84,1,0,0,"The area includes a garden, a basketball pitch, a soccer pitch, a boules pitch, and a chess picnic_table, such as Cruyff Court Sjaak Swart."
Watergraafsmeer,Private room,74,2,256,2.93,1,351,18,There is a garden nearby.
De Baarsjes - Oud-West,Entire home/apt,236,3,11,0.14,1,9,4,"The area includes a marketplace, cafes, a seafood shop, a bar, a second-hand store, a clothes shop, an interior decoration store, an alcohol shop, a florist, and a bakery, with examples such as Ten Katemarkt, Cafe Topido, Harchane, Bar Centraal, A. Mog Tweedehands, EFFECT(S), Blooming Interior, Sam's Coffee, Abraham Bloemen & Planten, and Ad Straathof Marktbakkerij."
Oud-Noord,Entire home/apt,175,3,28,0.33,1,0,3,There is a garden nearby.
Zuid,Entire home/apt,168,2,32,0.49,1,95,2,"The area includes a school and a playground, such as Olympiaschool."
Westerpark,Private room,126,2,101,1.2,1,70,21,"The area includes a pharmacy, a theatre, a coworking space, an art space, and a restaurant, such as Apotheek Amsterdam, Het Veem Theater, Werkgebouw Het Veem, BAK, and Profilex."
Noord-West,Private room,53,2,96,1.4,3,176,3,The nearby places include a garden and dentists such as Mondhygiëniste Praktijk Jolanda Heerschop and Tandartsenpraktijk Goos.
Centrum-West,Entire home/apt,225,3,38,0.49,1,195,2,"Nearby places include restaurants, clothes shops, cafes, and other businesses such as Assaggi, Babylon Vintage, Bar Pif, Café de Tuin, Donna Sofia, Gems, Het Oud-Hollandsch Snoepwinkeltje, Kimzou, La Fiorita, La Oliva Pintxos y Vinos, La Perla, Oogst, Rosario, Second Hand by Sam Sam, Serekunda, Smoked crispy bacon sandwich house, Studio Nelson Carrilho, Tanoshii sushi, The Beauty Bar, Theo Thijssenschool, Tom's bread & more, Vindit Vintage, What Art Can Do, Yan Yan, kleine kanjer, piselli boutique, and t' Pareltje."
Centrum-Oost,Entire home/apt,185,3,36,0.47,1,2,3,The nearby places include a fish restaurant called John Dory and a pilates fitness centre called Bodyvita.
De Baarsjes - Oud-West,Entire home/apt,200,3,28,0.65,1,36,2,"Nearby places include a soccer pitch, a playground, childcare such as Partou, and a park such as Bilderdijkpark."
Zuid,Entire home/apt,225,1,5,0.06,1,365,0,The area contains a garden.
De Pijp - Rivierenbuurt,Entire home/apt,164,3,44,0.55,1,0,1,"The area includes a garden, a school named Individueel Voortgezet Kunstzinnig Onderwijs, and a regional restaurant named ctaste."
Centrum-Oost,Entire home/apt,120,2,25,0.3,1,0,0,"The area includes a park and an artwork, such as Touwbaanpark and Bandenboot."
De Baarsjes - Oud-West,Entire home/apt,361,3,9,0.11,1,7,5,"The area includes a massage, post office, convenience store, electronics store, newsagent, restaurants, hairdresser, fast food, Korean restaurant, nutrition supplements, lighting, bakeries, houseware, garden centre, clothes, and beauty shops, such as Massage Salon Oranje, Postkantoor West, Avondwinkel Hapje, Discovery, Corner Inn, Vegitalian, Dany, Larry's, Mount Everest, Seoul Food, Vitaminstore, Mensink, Brioche, Musscher, Xenos, Wildernis, SuperBra, and Gallery 3."
Centrum-Oost,Private room,60,2,195,2.39,4,7,34,"The area includes a guest house, such as Deutsche Seemannsheim Amsterdam Guesthouse Keizersgracht."
De Baarsjes - Oud-West,Entire home/apt,248,4,32,0.47,1,154,1,"Nearby places include a pub, a public bookcase, and artwork, such as Aquacosta and l'Affiche."
Bos en Lommer,Entire home/apt,268,4,27,0.4,1,0,0,"The area includes a playground, a soccer pitch, and a garden."
Oud-Oost,Private room,216,3,24,0.44,3,287,6,"The area includes a garden, a public bookcase, and a playground."
Westerpark,Entire home/apt,175,3,15,0.27,1,0,0,"The area includes a garden, a playground named Speeltuin, and a school named Westerparkschool."
Centrum-West,Entire home/apt,160,1000,38,0.72,1,12,6,"Nearby places include a bar, beauty salons, an antiques shop, a clothes store, a deli, and a pastry shop, such as Café R. de Rosa, Ditjes & Datjes, Les petits canelés, OJAI, Reverse, Roquebrun, and Tiramisúp."
Centrum-Oost,Private room,207,1,14,0.2,2,135,2,"Nearby places include a doctor, a beauty salon, a playground, and artwork, such as Huisartsenpraktijk M.F. Huijgen, The City Street Spa, and Kokadorus."
Centrum-West,Private room,189,3,79,1.04,1,340,13,"Nearby places include clothes shops such as (IM)MATERIAL, Jutka & Riska, and Number Nine, as well as food and drink establishments like Bakkerij Mediterrane, Zoet & Hartig, and Ristorante Pizzeria Toscana, alongside various other services including Eye Wish, Medicijnman Apotheek Mouw & Kruysse, The Movies, and DHL Pakketautomaat."
Centrum-Oost,Entire home/apt,525,3,35,0.49,1,0,0,"The area includes a school, a playground, and a viewpoint, such as De Witte Olifant."
Centrum-West,Entire home/apt,150,3,93,1.17,1,111,7,The nearby place is a theatre called De Toneelmakerij.
Westerpark,Entire home/apt,175,3,66,0.85,1,0,3,"The area includes a garden, a picnic table, a playground, and a restaurant such as Kosmos."
IJburg - Zeeburgereiland,Entire home/apt,499,3,11,0.14,1,175,0,"The area includes a garden, playground, soccer pitch, park, dentist, and school, such as Laterna Magica, Mondzorg Haveneiland, and Theo van Goghpark."
Oud-Oost,Entire home/apt,120,2,5,0.07,4,337,0,"The area includes a university, a table tennis pitch, a soccer pitch, and bleachers, such as Amstelcampus."
Centrum-West,Private room,200,2,147,1.92,1,0,0,"Nearby places include restaurants, fast food outlets, a bar, a coffee shop, tea and cheese shops, clothing and shoe stores, houseware, esoteric and erotic shops, hairdressers, and a massage parlor, such as Pizza Pasta Steaks, Maijard Smashburgers, Café Brakke, Simon Lévelt, Sneaker District, Blokker, Hope, Mister B, Theatre de Coiffure, and Tara massage."
Oud-Noord,Entire home/apt,100,3,30,0.47,1,0,0,"The area features a skateboard pitch, an artwork, and a garden, including De muur."
Centrum-West,Entire home/apt,600,3,25,0.52,1,69,2,"The area includes a public bookcase and an attraction, such as Egelantiersgracht."
De Baarsjes - Oud-West,Entire home/apt,199,4,40,0.59,1,6,0,"The area includes a public bookcase, restaurants, a Mexican fast food place, a Thai restaurant, a cannabis shop, beauty services, a local cafe, a tailor, and pizza fast food, with examples including Clinic Pure, Coffeeshop Vondel, Don Burrito, Focacceria, Muang Thai, Papa John's, Supervorm, and Toasty!."
Oud-Oost,Private room,69,1,433,5.55,1,32,31,"The area includes a garden, a playground, and a community centre, such as Tugelahuis."
Westerpark,Entire home/apt,125,2,5,0.07,1,289,0,"Nearby places include a cannabis shop, a guest house, a garden, artwork, a bar, a convenience store, and a deli, such as Bario Market, Checkpoint Charlie, De Republiek, Tegenbeeld, Toko Hangalampoe, and Westerpark Home."
Westerpark,Entire home/apt,97,3,331,4.19,1,121,16,"The nearby places include a hairdresser and a garden, such as Florin."
De Baarsjes - Oud-West,Entire home/apt,325,4,16,0.21,1,145,1,"The area includes a park, a pub, and an artwork, such as Bilderdijkpark and Janszen."
Oud-Oost,Entire home/apt,121,4,27,0.34,1,111,2,"The area includes a university, a garden, two colleges, and a cafe, such as Amstelcampus, Benno Premselahuis, Koetsier-Montaignehuis, and YUSU."
Oud-Noord,Entire home/apt,195,4,32,0.61,1,3,5,"The area includes a park, such as Noorderpark."
Westerpark,Entire home/apt,113,3,35,0.46,1,0,0,There is a garden nearby.
Centrum-Oost,Entire home/apt,160,3,22,0.32,1,0,0,There is a public bookcase.
Centrum-West,Private room,65,3,12,0.18,1,0,0,"Nearby places include a public bookcase, fashion accessories, jewelry, a coffee shop, a breakfast restaurant, a bicycle shop, and a driving school, such as De Smederij, Demure couture hat, Nous, RVV.NL, Rent a Bikey, and The Breakfast Club."
Centrum-Oost,Entire home/apt,199,2,57,0.73,1,213,1,There is a playground nearby.
Centrum-West,Private room,175,2,232,4.0,1,79,2,The area includes a fitness centre called SportCity and a playground called Piramide Speeltuin.
Centrum-West,Entire home/apt,275,6,28,0.36,1,48,9,"The area includes a gallery, specifically Galerie Staaf."
Westerpark,Shared room,60,1,3,0.05,1,16,0,"The area contains an information centre, an arts centre, and a park, including Westergasfabriek and Westerpark."
Oud-Oost,Entire home/apt,110,2,22,0.29,1,0,0,"The area includes a french restaurant, a restaurant, a park, a garden, and a theatre, with examples including Marci Panis, Mr Watson, Rijsel, and Wibautpark."
Gaasperdam - Driemond,Private room,46,1,220,3.3,1,318,10,The area includes a park such as Gaasperzoom.
Centrum-West,Entire home/apt,193,5,19,0.27,1,8,1,"The area includes attractions, sewing and clothes shops, a pharmacy, a supermarket, a cinema, a newsagent, music and games stores, pubs, second-hand shops, hairdressers, theatres, beauty salons, restaurants, a tailor, electronics, cafes, a parcel locker, a bakery, a playground, and fast food, such as 't Centrum, (IM)MATERIAL, Amsterdam nail art studio, Bakkerij Mediterrane, and Chique de Friemel."
Westerpark,Entire home/apt,80,3,61,0.78,1,1,0,"Nearby places include a garden, a musical instrument shop called Saxomania, a cannabis store called Chapiteau, and a bicycle shop called Gregario Cycling Services."
De Baarsjes - Oud-West,Entire home/apt,121,3,54,0.7,1,174,2,There is a garden nearby.
