index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_summary
1414,,Centrum-West,52.36655,4.89039,Entire home/apt,250,3,66,0.98,3,355,1,holland,"The area features a diverse dining scene with options like Black and Blue, Garlic Queen, Il Primo, La Casa di Madonna, Middl Eat, Sampurna, Seoul Sista, Sichuan Food, Ta-Hwa, Tokyo Ramen Takeichi, and Old Dutch Pancake House, alongside pubs and bars such as Bar BLEND, Duke of Tokyo, Soho, Studio 2, Taboo, and Taboo Kantine. Retail and local culture are represented by Artem Bodywear, Blik, Christmas Palace, Easy Times, El Encanto, Genki, LunaNoire, Maria to go, and Old Amsterdam Cheese Store, as well as the Bloemenmarkt, a historic floating flower market that serves as a central landmark for the neighborhood."
703,,Centrum-West,52.37713,4.8821,Entire home/apt,225,3,38,0.49,1,195,2,holland,"The area features diverse dining options including Assaggi, Donna Sofia, La Fiorita, La Oliva Pintxos y Vinos, La Perla, Oogst, Rosario, Smoked crispy bacon sandwich house, Tanoshii sushi, Yan Yan, and Bar Pif, alongside Café de Tuin and Tom's bread & more. Retail and services include Babylon Vintage, Kimzou, Second Hand by Sam Sam, Serekunda, Vindit Vintage, piselli boutique, t' Pareltje, Gems, Het Oud-Hollandsch Snoepwinkeltje, The Beauty Bar, kleine kanjer, and Studio Nelson Carrilho, with cultural enrichment provided by the gallery What Art Can Do, the arts_centre, and the Theo Thijssenschool."
3125,,Centrum-West,52.3743,4.89216,Private room,70,3,235,6.17,1,148,57,holland,"The area features a variety of dining options including De Drie Graefjes, De Pannenkoekerij, Eethuis Sie-Joe, Takumi Ramen, Dal Migliore, Seafood Grill, La Cantina, La Casa, Lunch & Dinner, Mr. Crab, and Corner House Hotel Cafe, alongside nightlife and social spots like De Drie Fleschjes, De Drie Monnikjes, De Nieuwe Pilserij, and Amsterdam Seed Center. Retail and services include Green Budget Bikes, Original Dutch Fabric, Quilt Shop, Pop Up Store Marcous Vintage, Rainbow, Rejoes, Sense, St. Paul's, Tulashi, Tattoo & Art, Museumfoto, and the Dam Square Inn, which is a well-known landmark serving as a central hub for the city."
2418,,Centrum-West,52.37447,4.89204,Private room,80,1,153,3.46,1,44,50,holland,"The area offers a variety of dining options ranging from French and Italian cuisine at Kaagman & Kortekaas and Dal Migliore to Asian dishes at Takumi Ramen and Eethuis Sie-Joe, alongside cafes like De Drie Graefjes and Corner House Hotel Cafe. You will also find retail shops including Original Dutch Fabric and Quilt Shop, nightlife spots like De Drie Fleschjes and De Nieuwe Pilserij, and services such as Amsterdam Seed Center, Green Budget Bikes, and Museumfoto, which is a notable landmark for its historical photographic archives of the city."
2829,,Centrum-West,52.371284,4.897311,Entire home/apt,176,3,16,0.38,2,13,0,holland,"The area features dining and cafes such as Barbecue, Burger Zaken, Cafe De Pool, Cafe Tapvreugd, Chipsy King, Dolce & Gelato Bio, Fabel Friet, Jade House, Kok, Samrat, and Tasteful, alongside retail shops including Capsicum, De Grote Tas, Het Kleinste Huis, Love Stories Archive, Number One, Q&Q, Stetson, and Tapvreugd. Local landmarks include the historic Oost-Indisch Huis, the 17th-century Waalse kerk, the atmospheric Walenpoortje, and de Wallen, a famous district known for its historical significance and unique urban character. PsiloCybe CBD&SonjaDelight also operates in the vicinity."
398,,De Pijp - Rivierenbuurt,52.35582,4.89172,Entire home/apt,400,2,35,0.4,1,363,4,holland,"This area features a diverse retail scene including clothing and accessory boutiques like 7115 by Szeki, Anna+Nina, Baskèts, LOVE Stories Archive, and Second Life, alongside interior decoration and specialty shops such as All The Luck In The World, Living-in By Romy's, and Phoenix Verf- & Glasspecialisten. Dining and social options include Italian restaurants Spaghetteria and Carletto, the French restaurant Zaza's, and the Coffeeshop Club Media, complemented by personal services like iV Salon and the tattoo studio Inkorporated."
1044,,De Pijp - Rivierenbuurt,52.35668,4.89999,Private room,66,1,637,8.57,2,65,44,holland,"The area features a variety of dining options including Badeta Koffiebranders, Broodje Popov, Have A Roll, Heemelrijck, KIKIBOBA, Lavina, Otemba, Rodja Hummus & More, Roopram Roti, Taste Like Chicken, Tewatashi, Tjin's, and Warung Mini Van Wou, alongside nightlife spots like Café Biljart Van Wou and Lion's Head Restaurant & Brewery. Retail and services are provided by Allrepair7, Daniele Dentici, Exotica, Libas Kledingreparatie & Stomerij, Me Gorgeous!, Praxis, Tabak- & Vapeshop Van Wou, The Sunflower, and Veranda Wellness & Spa."
4015,,De Pijp - Rivierenbuurt,52.35675,4.90002,Hotel room,80,2,33,1.47,3,354,15,holland,"The area features a variety of dining options including Badeta Koffiebranders, Broodje Popov, Have A Roll, KIKIBOBA, Lavina, Otemba, Roopram Roti, Taste Like Chicken, Tewatashi, Tjin's, Warung Mini Van Wou, and the Dutch restaurant Heemelrijck, alongside nightlife spots like Café Biljart Van Wou and Lion's Head Restaurant & Brewery. Retail and services include Exotica, Gloria Verlichting, Libas Kledingreparatie & Stomerij, Me Gorgeous!, Praxis, Tabak- & Vapeshop Van Wou, The Sunflower, and Veranda Wellness & Spa."
2040,,Centrum-West,52.37973,4.89378,Entire home/apt,175,2,34,0.62,1,20,7,holland,"The area features diverse dining and specialty food options including Bistrot Neuf, Namaskar, Rangoli, Jojo Sweet, Daily Fresh, and 't Kaaspunt, alongside cafes like Chabrol Wines, Jay's Juices, and Jongejans. Retail and services are well-represented by shops such as Daskas, Haarlemmer electronica, It's a present, Cigo, Coffeeshop Green Place, Luba, Miss B by la Grotte, Mono, Rumors, Schumich, Vintage Island, Zipper, and Las Marias."
1079,,Oostelijk Havengebied - Indische Buurt,52.363846,4.934911,Entire home/apt,200,3,28,0.74,1,0,0,holland,"The area features a diverse dining scene including Bar Ristorante Gallizia, Café Insulinde, Indonesia Indah, Mirchi, Nour, Saïdi, Sushito, The Meets, and 50 Shades of Döner, complemented by IJs van Oost for ice cream. Retail and services are well-represented by shops like Zeeman, Things I like things I love, Kwiyasse, Cape de l'eau, Victoria Carpet Center, Java Markt, Late Night Liquorstore, Tabakshop Java, Barbershop Murat, La Belleza, Sfifa Azharaa, and the local school De Indische Buurtschool, alongside the community space Bilal Aben Rabah and the garden El Pescado."
2248,,Centrum-Oost,52.36465,4.89798,Entire home/apt,440,2,21,1.25,2,0,6,holland,"The area features a variety of dining options including Ali Ocakbaşı, Güney's Delights, Meghna, Mochi, Quartier Latin, The Amsterdam Basement, The Healthy Spot, and Wowcrab, alongside cafes and coffee shops like Social Coffee, Zuivere Koffie, and Boerejongens. Retail and lifestyle services are represented by Ace, Alfonso, Brug34, De Juwelier, Es, Kindred Spirits, Naturel, Salon de Lingerie, Samsøe Samsøe, Sézane, The Preacher's son tatoo shop, We Are Labels, and Wolf Ware."
4533,,Centrum-West,52.37023,4.88183,Private room,149,1,39,2.51,3,113,14,holland,"The area features dining and retail options including Fou Fow Ramen, Gifu Ramen Bar, SUE Bites Bar, IJscuypje, Albert Heijn, Etos, Gall & Gall, Coffeeshop Johnny, Amsterdam Nail Art Studio, La Savonnerie, Kleine Eland, Tenure De Nimes, Xantippe, and gr8acht. Cultural highlights include Galerie Bart and several statues dedicated to local figures such as Johnny Jordaan, Johnny Meijer, Manke Nelis, and Mien en Bolle Jan Froger, which celebrate the historic character of the Jordaan neighborhood alongside Cafe de Eland, Daniele Dentici, Ensō, and 14e Montessorischool De Jordaan."
4159,,Centrum-West,52.3765,4.89715,Entire home/apt,570,7,2,0.18,4,339,2,holland,"The area features dining options such as Chaplin, Crêpes Restaurant, Pasta Pizza Crėpes Panini, Pastabar, and Macau, alongside retail shops including Damrak Supermarket, Jumbo City, Jamin, Leonidas, Guecca, Parfumerie Omnia, Phone Point, and Shirt Factory. Cultural landmarks include the Venustempel Sexmuseum, which offers a historical look at human sexuality, and the Amsterdam Experience and Holland Experience, which provide immersive insights into local culture. Additional services include a bureau de change, a growshop, a cannabis shop, an adult gaming centre, and ticket offices like Lindbergh, Tours & Tickets, and Tours & Tickets J. van Beek B.V."
3838,,De Baarsjes - Oud-West,52.36637,4.86799,Entire home/apt,140,3,7,0.25,1,13,1,holland,"The area features a variety of retail and services including Angels beauty style, Change laserclinic, Dorita's hair products, KPN, Odido, Tele2, Vaperoutlet, Entertainment Exchange, Church of Labels, Denim City, themakerstore, Primera, Recycle, Geldmaat, SNS Bank, and Kema Vlees. Dining options include FEBO, Salsa shop, Meneer Temaki, and Yogurt Barn, while the neighborhood is anchored by De Hallen, a cultural hub and former tram depot, and the vibrant Ten Katemarkt, a local market known for its diverse food and goods."
3223,,Centrum-West,52.37206,4.8972,Private room,112,1,191,5.37,2,215,84,holland,"The area features dining and nightlife options such as Mr. Crumbs and The Pint, alongside retail shops including Red Light Records, Red Light Souvenirs, Saint Morris, and various hemp-focused stores like Sensi Seeds Bank, The Flying Dutchmen, Hemp Story, and Hemp Gallery. Cultural landmarks include the Hash Marihuana & Hemp Museum and Tobacco Experience, which highlight local history, and de Wallen, a well-known historic district that defines the character of the neighborhood, complemented by accommodations like B&B 1680, Princehof, and Heart of Amsterdam."
5441,,Centrum-West,52.37397,4.89924,Entire home/apt,396,1,1,1.0,7,329,1,holland,"The area features a variety of nightlife and entertainment venues including Bananenbar, Black Tiger Bar, Cafe Pleinzicht, New Castle Bar, Old Sailor, Excalibur, and Grill-Bar Baby, alongside dining options like American Bar-bq, Anco, and Baba Kebab. Notable landmarks include de Wallen, a historic district known for its unique character, and museums such as Erotisch Museum and Red Light Secrets, which provide historical context to the neighborhood."
1240,,Centrum-West,52.37778,4.88709,Entire home/apt,745,3,18,0.29,1,5,0,holland,"The area features a variety of dining options including Bistro-Brasserie Bleu, Café de Klepel, De laatste kruimel, Simz Exotic Food, and Twee Prinsen, alongside retail shops such as Comme des Garcons Pocket, Kikkie, Margriet Nannings, Margriet Nannings 50% store, Oska, Oslo, Prinsheerlijk, Square feet, Tommy Page, Vennington, Vintage detective, studio ROOF, and Likestationery. De Rode Hoed serves as a notable arts centre and cultural landmark, hosting diverse events that contribute to the local character."
3786,,De Baarsjes - Oud-West,52.36609,4.86708,Entire home/apt,150,1,3,0.11,1,0,0,holland,"The area features a variety of dining and retail options including Doppio Espresso, Five Ways Coffee, Dunya Firini, MultiVlaai, Best doner & snacks, McDonald's, Volendam Vishandel, Kema Vlees, Holland & Barrett, Church of Labels, Ulivoto Fashion, Tex Leder, Baby Boem, B&B feestartikelen, Solleveld, Primera, Energy Dictator, and Geldmaat. It is anchored by the Ten Katemarkt, Asian-caribbean Market, and Tropische Winkel Rustem, which serve as essential local hubs for fresh produce and diverse community goods, alongside the Imperial barbershop."
5497,,Centrum-Oost,52.36378,4.88348,Entire home/apt,304,30,0,,1,365,0,holland,"The area features a variety of dining options including Burger King, Cafe in the City, Grand Café, Miko Ramen, Pancake Corner Restaurant, Piazzeta Romana, Ron Gastrobar Paris, Satellite Sportscafe, and Yellow River, alongside nightlife spots like Club Candela, Club Up, NJOY Cocktailbar, Palladium, and The Bulldog Ex-Police Station. The neighborhood is anchored by Leidseplein, a major square known for its vibrant entertainment scene, and the Kleine-Gartmanplantsoen garden, while hosting the Tegen alle stromen in artwork and accommodations such as Amsterdam Hostel Leidseplein, Get Down, and Easy Internet Cafe."
5184,,Centrum-West,52.37552,4.89272,Private room,99,2,0,,4,0,0,holland,"The area features diverse dining and nightlife options such as Angus Steak House, Bagels Sandwich Village, Casa del Toro, De Spaanse Ruiter, Made in Sud, Verona, and De Denneboom, alongside cafes like Moussaïque. Retail and services include INK Hotel Amsterdam, Xplore Hostel Amsterdam, The Highlander, KILLACUTZ Records, Oh You Pretty Things, Watchme Amsterdam, Vitamin Advice Shop, Cannabis Seed Bank, Boudewijn Veltman, Luggage Depot, and two hairdressers."
3702,,De Baarsjes - Oud-West,52.3666,4.87301,Entire home/apt,100,2,6,0.21,1,15,1,holland,"The area features diverse dining options including De Japanner, De Oost, Riaz, Vicio, and BAR BARIO, alongside retail shops like Dille & Kamille, Jutka & Riska, Reshare Store, WoodHouse, and Alex Bikes. Essential services and personal care are provided by Laset Beauty Lab, Menspire, Mooi Anders, Salon Bella Brasil, Aquacosta, Zest, RA travel, Quality Cleaners, Homeless Laundry Colors Wasserette, and the artwork at Soytasty."
3347,,De Pijp - Rivierenbuurt,52.35666,4.89785,Entire home/apt,200,3,14,0.48,1,21,3,holland,"The area features a variety of dining options including Franggo, Arles, Thai Roof, Ranchi Amsterdam, Mari Peruvian Delights & More, Warung Swietie Lelydorp, and Lunchcafé Bozz, alongside retail shops like Birkenstock, Shoelala Shoes & More, Mikado Speelgoed, Ideaal Gordijnen Specialisten, Khadija Caftan Biladi, and Vivánt Nancy. Local culture and activity are centered around the Albert Cuyp-markt, a historic street market that defines the neighborhood, the Gerard Dou Synagogue, a significant place of worship, and venues such as André Hazes, Café Dakduif, Folkvang, Boksschool VBSK Albert Cuyp, and Pole Practice."
126,,Centrum-West,52.374,4.89902,Private room,125,2,445,4.02,2,349,24,holland,"The area features dining and cafes such as American Bar-bq, Anco, Cafe Pleinzicht, and Koffieschenkerij, alongside retail and services including Life is So Sweet, Star Shop, Brutus Bros, and Erotic Shop. Cultural landmarks include Oude Kerk, a historic church central to the district, and museums like Erotisch Museum and Red Light Secrets, which offer insight into local history, while nightlife and adult entertainment options include Bananenbar, Casa Rosso, Casino City, Excalibur, Les Deux Frêres, New Castle Bar, Old Sailor, The Tabernacle, and de Wallen."
2675,,Centrum-West,52.37114,4.89261,Private room,100,1,65,1.44,1,5,0,holland,"The area features a variety of dining options including Bakery Cafe, Het Groene Paleis, Het Groene Paleis - Coffee and Bakery, McDonald's, Jamin, Kingdom of Sweets, and Cave Rokin. Retail and services include City Diamonds, Harry Tromp, Kunsthandel Frans Jacobs, Eye Wish, Guess, Sidestep, Triumph, Sharp Gear, Sunday's, Mini Supermarkt, KPN, Vodafone, and Tours & Tickets."
2593,,Centrum-West,52.36926,4.87991,Private room,113,2,182,3.84,3,60,30,holland,"The area features a variety of dining and retail options, including cafes and restaurants like Koffiespot, Balthazar's Keuken, and Waldo, alongside shops such as A.P.C., Baskèts, Ekoplaza, and Misc. Local landmarks include Looiersplantsoen, a neighborhood park that serves as a green space, and Smit Cruyff, which is a notable spot for soccer sports."
2392,,Centrum-West,52.37204,4.89629,Private room,74,2,142,3.05,2,248,14,holland,"The area features diverse dining options including Bakery Cafe, Burgerzaken, Golden Chopsticks, Henk's Herring, Ice Bakery, Oriental City, Ramen-Ya, Wok To Go, and Yucca, alongside retail shops like Amsterdam Duck Store, Parfumerie Marjo, Sigarenmagazijn Bom 9, and Vape4life. It is home to de Wallen, a historic district known for its unique atmosphere, and offers services through Friendship Cruises, Princehof, Saint Morris, Love Experience, Pure Lust, Sexy Amsterdam, Tours & Tickets, and Yucca."
757,,De Baarsjes - Oud-West,52.36724,4.87198,Entire home/apt,361,3,9,0.11,1,7,5,holland,"The area features a variety of dining options including Seoul Food, Vegitalian, Mount Everest, Brioche, and Corner Inn. Retail and services are well-represented by shops like SuperBra, Xenos, Wildernis, Vitaminstore, Discovery, Gallery 3, Indianaweg, Ja &Ro, Larry's, Mensink, Musscher, Dany, Postkantoor West, Massage Salon Oranje, and Avondwinkel Hapje."
3589,,De Pijp - Rivierenbuurt,52.35266,4.89427,Entire home/apt,175,2,4,0.38,1,146,3,holland,"The area features a variety of dining and nightlife options including Badeta Koffiebranders, CousCous Club, De Pizzakamer, Massimo Gelato, Hayran, Romio's Taverna, Sinne, and Wijnbar Paulus. Retail and services include Bicycle Hotel, De Stadsfiets, De Stijlkamer, Discover Shiatsu, Grice Circular Fashion, New Look, TrainMore, and the cinema Rialto, while the local landmark Oranjekerk serves as a notable place of worship and BACK provides a garden space."
4381,,Centrum-West,52.37111,4.89134,Private room,511,3,0,,1,365,0,holland,"The area features diverse retail options including clothing stores like Zara, Topshop / Topman, Intimissimi, and Triumph, alongside jewelry at City Diamonds, shoes at Sidestep, toys at Lego and Kabouter, and confectionery at Kingdom of Sweets and Captain Candy. Dining includes Da Filippo, Luciën's Frietes, and McDonald's, while local landmarks include the historic place of worship De Papegaai, the Postzegelmarkt, the Postzegelpark, and the Stadspaleis, which is a notable attraction for its cultural significance."
1590,,Centrum-Oost,52.36384,4.88328,Private room,89,2,90,1.36,1,0,0,holland,"The area features a variety of dining options including Pancake Corner Restaurant, Ron Gastrobar Paris, Yellow River, Piazzeta Romana, Burger King, and Satellite Sportscafe, alongside cafes like Cafe in the City, Grand Café, Easy Internet Cafe, and international cafe Tegen alle stromen in. Nightlife and leisure are centered around clubs and bars such as Club Candela, Club Up, Palladium, and The Bulldog Ex-Police Station, while the surroundings are defined by the landmark Leidseplein, a major entertainment hub, and the garden Kleine-Gartmanplantsoen, which provides a central green space. Nearby accommodations include Amsterdam Hostel Leidseplein and Get Down, with the artwork Tegen alle stromen in serving as a local cultural point of interest."
1009,,De Pijp - Rivierenbuurt,52.35587,4.89541,Entire home/apt,99,2,55,0.91,1,0,3,holland,"The area features a variety of dining options including BagelBoy, Cabrón, Pizzeria da Michele, Saskia's Huiskamer, Toko Hola, and Rudi's Original Stroopwafels, alongside retail shops like Hollywood Mode, ReLove Outlet, Sportshop Peter Jan, Zyclone, De Plantenmarkt, and Drogisterij Yousef. It is anchored by the Albert Cuyp-markt, a historic street market that serves as a central hub for local commerce, complemented by wellness facilities such as HIIT FIT, Personal Gym Albert Cuyp, Pilates For Her, Freshcut Zuid, and the tattoo studio Hachi."
1507,,Centrum-West,52.37426,4.89926,Private room,117,1,170,2.92,16,359,14,holland,"The area features a variety of dining options including American Bar-bq, Anco, Baba Kebab, FEBO, Favorite Chicken, Grill-Bar Baby, and Les Deux Frêres, alongside nightlife spots like Black Tiger Bar, Excalibur, New Castle Bar, and Old Bridge. Cultural and historical sites include Oude Kerk, a landmark church known for its medieval architecture, the Erotisch Museum, and de Wallen, a historic district, while the surroundings also host Casa Rosso, Rooms belonging to My Red Light Foundation, The Tabernacle, and a tattoo shop."
3049,,Centrum-West,52.37556,4.89739,Private room,89,3,97,2.47,2,0,0,holland,"The area features dining and nightlife options including Cafe Keffer, Dal Pagliaccio, De Deugniet, Donnerkebab, Kebab Corner, The Brokers Bar, The Grasshopper, Wok Inn, Vlaamse Friet, and café40, alongside retail spots like Croissanterie, Hot Or Not, Smart, The Happy Shop, and Tony's Chocolonely. Local landmarks include the Beurs van Berlage, a historic stock exchange building, Rederij Plas for canal tours, and the coworking space Meet Berlage."
1535,,Centrum-West,52.37426,4.89926,Private room,114,1,128,1.92,16,358,1,holland,"The area features a variety of dining options including American Bar-bq, Anco, Baba Kebab, FEBO, Favorite Chicken, Grill-Bar Baby, and Les Deux Frêres, alongside nightlife venues such as Black Tiger Bar, Excalibur, New Castle Bar, and Old Bridge. Cultural and historical points of interest include the Oude Kerk, a significant medieval church and the oldest building in the city, the Erotisch Museum, and the historic de Wallen district, while the surroundings also encompass The Tabernacle, Casa Rosso, Rooms belonging to My Red Light Foundation, and a tattoo shop."
4225,,Centrum-West,52.37392,4.89635,Private room,132,1,0,,9,0,0,holland,"The area features a variety of dining and nightlife options including De Bakkerswinkel, Metropolitan, Belushi's Amsterdam, Durty Nelly's, Durty Nellys Inn, St. Christopher's at The Winston, Winston, Anna, Port of Call, and La Vie. Cultural and retail points of interest include the Amsterdam Exchange Experience, the gallery W139, the historic de Wallen district, the specialized shop Condomerie, the street Warmoesstraat, and the shops Greendayz Coffee and Smart-Zone Smartshop."
2308,,Centrum-West,52.37874,4.88263,Entire home/apt,175,2,21,0.41,1,0,0,holland,"The area features dining and cafes such as Cru, Hummus Bistro D&A, Ristorante Pepe, Roux, De Blaffende Vis, Hermanusje van Alles, and Mooi Mate, alongside services like Medicijnman Apotheek Jordaan, Westerstraat kapsalon, Westerstraat massage, and The Dental House. Cultural and recreational spots include Arttra and Kleine Atelier galleries, the Het Monumentje garden, the Noorderspeeltuin playground, and a soccer pitch. Het Monumentje is a local landmark that serves as a historic focal point for the neighborhood."
1054,,Oostelijk Havengebied - Indische Buurt,52.36398,4.93364,Entire home/apt,125,2,27,0.35,1,323,0,holland,"The area features a variety of dining options including Bar Ristorante Gallizia, Ricardo's, Topkapi, Zondag, and Lechería. Retail and service needs are met by Basirco Vlees, Hilal Reizen, Durmaz Telecom, Phone Home, M. Merkato, &Brows, Afaker, Asiya, Lara Hair and Beauty Cosmetics, Mitts, and Saïdi."
859,,Centrum-West,52.37386,4.88225,Private room,200,2,147,1.92,1,0,0,holland,"The area features a diverse dining scene with options like Amigo, Broodje Mokum, Maijard Smashburgers, Pizza Pasta Steaks, Thaise Afhaal Dong Son, and Wegewijs, alongside coffee and tea at Café Brakke and Simon Lévelt. Retail and services include Blokker, Fabula Rosa, Hope, Mister B, Sneaker District, Tara massage, Theatre de Coiffure, and Toni & Guy, while Oude Wester stands out as a landmark known for its iconic tower and historical significance to the neighborhood."
