neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Centrum-Oost,Private room,120,2,421,3.77,1,119,5,"Breakfast restaurant: Blin Queen
Pizza restaurant: Pizza Beppe
Irish pub: Mulligans
Hotel: Amsterdam House Hotel, Hotel Amstelzicht
Viewpoint: Dancing Houses

The area reads as tourist-prominent. The specific draws that make it so are the presence of multiple hotels, a viewpoint, and an Irish pub, which are typical features of a high-traffic area catering to visitors rather than long-term residents."
De Baarsjes - Oud-West,Entire home/apt,119,5,71,0.61,1,14,3,"Billiards pub: Keu Poolcafe
Hotel: Leonardo Hotel Amsterdam

The area reads as everyday-residential. The specific draws that make it so are the presence of a local poolcafe and a standard hotel, which cater to routine leisure and transient lodging rather than serving as famous landmarks or major tourist attractions."
De Pijp - Rivierenbuurt,Entire home/apt,113,3,126,1.21,1,3,3,"place_of_worship: Arrahman
french restaurant: Le Hollandais

The area reads as everyday-residential. The specific draws that make it so are the inclusion of a local place of worship and a neighborhood restaurant, neither of which function as major tourist-prominent landmarks or attractions."
De Baarsjes - Oud-West,Private room,70,2,411,3.56,1,283,13,"Place types: picnic_table (1), garden (1)

This area reads as everyday-residential, as there are no famous landmarks or attractions present to draw tourists."
Centrum-West,Entire home/apt,171,3,35,0.65,1,0,4,"attraction: Dam
clothes: H&M, Pop Up Store Marcous Vintage
jewelry: Swarovski, Tulashi
ice_cream: Ice Bakery
cheese: Cheese & More
turkish bakery: Simit Sarayi
sandwich fast_food: Subway
friture fast_food: FEBO
perfumery: ICI PARIS XL
burger fast_food: Burger King, McDonald's
cosmetics: KIKO, Pink Gellac
shoes: Foot Locker, Manfield, Nelson Schoenen
bag: Louisa
toys: Pop Mart
american cafe: De Drie Graefjes
restaurant: Barraka
cannabis: Amsterdam Seed Center, De Drie Monnikjes
tattoo: Tattoo & Art
pancake restaurant: De Pannenkoekerij
pub: De Nieuwe Pilserij
gift: Bon Dia, Dal Migliore
hotel: Dam Square Inn
information: 360 Amsterdam
ticket: Amsterdam nightlife ticket
cafe: 't Nieuwe Kafé, Dam Good Coffee
outdoor_seating: 't Nieuwe Kafé
photo: Museumfoto

The area reads as tourist-prominent. The presence of major landmarks like Dam, services catering specifically to visitors such as Amsterdam nightlife ticket, 360 Amsterdam, and Dam Square Inn, and high-traffic international retail and fast-food chains confirm its status as a central tourist hub."
Centrum-Oost,Entire home/apt,299,3,60,0.66,1,165,0,"smartshop: Azarius
community_centre: Wijkcentrum d'Oude Stadt
place_of_worship: Keizersgrachtkerk
cannabis: House of Smart
gallery: Slewe Gallery

The area reads as everyday-residential. While the presence of a smartshop and cannabis store suggests a central urban location, the inclusion of a Wijkcentrum d'Oude Stadt and Keizersgrachtkerk indicates a neighborhood focused on local community services and religious life rather than major tourist landmarks."
Centrum-West,Entire home/apt,600,2,62,0.54,1,362,0,"Playground: None
Table tennis pitch: None
School: Theo Thijssenschool

The area reads as everyday-residential. The specific draw is the Theo Thijssenschool, which serves the local community rather than acting as a tourist attraction."
Oud-Noord,Entire home/apt,170,4,20,0.26,1,0,0,"Bakery: Isken
Bicycle: Bike Laboratory
Pizza fast_food: Domino's
Garden: None

This area reads as everyday-residential. The presence of a local pizza chain, a bicycle repair shop, and a bakery indicates a neighborhood focused on routine services and local errands rather than famous landmarks or tourist attractions."
Westerpark,Entire home/apt,250,26,1,0.01,3,299,0,"artwork: Gevallen Engel

The area reads as everyday-residential, as the presence of a single piece of artwork does not constitute a major tourist destination or a cluster of famous landmarks."
De Pijp - Rivierenbuurt,Private room,65,1,464,5.18,1,154,31,"shoe_repair: The Royal Treatment
playground: None
garden: None
soccer pitch: None

The area reads as everyday-residential. The presence of a single local service business like The Royal Treatment suggests a neighborhood focused on routine maintenance rather than a hub for visitors."
Centrum-Oost,Entire home/apt,120,14,84,0.84,1,33,2,"The provided list contains no places. Therefore, the area cannot be categorized as either tourist-prominent or everyday-residential."
Centrum-West,Private room,125,2,445,4.02,2,349,24,"Place types:
Attraction: de Wallen
Confectionery: Life is So Sweet
Cafe: Cafe Pleinzicht, Koffieschenkerij
Brothel: Bananenbar
Museum: Erotisch Museum, Red Light Secrets, Oude Kerk
Bar: Anco, Les Deux Frêres, New Castle Bar, Old Sailor
Erotic: Casa Rosso, Erotic Shop
Pub: American Bar-bq
Stripclub: Excalibur
Adult gaming centre: Casino City
Restaurant: Brutus Bros
Place of worship: The Tabernacle
Tattoo: Star Shop
Clothes: (None listed)

The area reads as tourist-prominent. The specific draws that make it so are de Wallen, Erotisch Museum, Red Light Secrets, and Casa Rosso."
Westerpark,Private room,81,3,362,3.33,1,337,8,"No places were provided to categorize. As there are no landmarks or residential draws listed, the area cannot be classified as either tourist-prominent or everyday-residential."
Centrum-Oost,Entire home/apt,843,2,113,1.34,2,256,0,"Museum: Werf 't Kromhout

The area reads as tourist-prominent due to the presence of Werf 't Kromhout, a historical shipyard museum that serves as a specific cultural draw for visitors."
Westerpark,Entire home/apt,250,3,64,0.64,1,99,3,"Playground: Apentafel
Boules pitch: Apentafel
Artwork: Apentafel

The area reads as everyday-residential. The specific draw is the Apentafel, which serves as a local recreational facility for residents rather than a landmark designed for tourism."
Centrum-Oost,Private room,118,3,414,3.88,2,219,5,"Attraction: Zuiderkerk, Zuiderkerkstoren

The area reads as tourist-prominent. The specific draws are the Zuiderkerk and Zuiderkerkstoren, which are historic landmarks that attract visitors interested in architecture and city history."
De Baarsjes - Oud-West,Entire home/apt,110,3,2,0.04,1,0,0,"Place types:
place_of_worship: Gurdwara Maan Sarovar Sahib
college: NJMT - Nationaal Jeugd Musical Theater

The area reads as everyday-residential. The specific draws are the local community-focused Gurdwara Maan Sarovar Sahib and the specialized educational institution NJMT - Nationaal Jeugd Musical Theater, which serve the local population rather than attracting large-scale tourist crowds."
Centrum-West,Entire home/apt,399,2,52,0.48,1,103,4,"artwork: Kabouter, Stadspaleis
park: Postzegelpark
theatre: Theater De Richel
cafe: Argus, Diep
attraction: Postzegelmarkt
outdoor_seating: Diep
hotel: Nova Hotel
playground: Postzegelpark
antiques: Vintage Clothes & Design

The area reads as tourist-prominent. The specific draws that make it so are the Nova Hotel, which caters to visitors, and the Postzegelmarkt, which serves as a notable local attraction."
Centrum-Oost,Private room,77,1,901,8.2,1,301,154,"social_facility: Sarphatihuis
garden: Sarphatihuis

The area reads as everyday-residential. The specific draw is the Sarphatihuis, which functions as a residential care facility for the elderly rather than a tourist attraction."
De Pijp - Rivierenbuurt,Entire home/apt,180,1,92,0.88,1,0,0,"School: De Avonturijn

The area reads as everyday-residential, as it is defined by a local school serving the immediate community rather than famous landmarks or tourist attractions."
Centrum-Oost,Private room,132,2,44,0.63,2,236,0,"Clinic: Medisch Centrum Wetering
Garden: None

The area reads as everyday-residential. The specific draw is Medisch Centrum Wetering, which serves the local community's healthcare needs."
De Baarsjes - Oud-West,Entire home/apt,120,4,82,0.92,1,0,2,"field_hockey pitch: Balboaplein
table_tennis pitch: Balboaplein
basketball pitch: Balboaplein
playground: Balboaplein, Balboaplein
garden: Balboaplein

The area reads as everyday-residential. The specific draws are the local recreational facilities, including a playground, garden, and various sports pitches, which serve the daily needs of the local community rather than acting as famous tourist landmarks."
Centrum-West,Entire home/apt,210,4,60,0.57,1,78,2,"gallery: Marjan de Voogd Porcelain
supermarket: De Schans
tobacco: Slagerij Rief
thai restaurant: Sonkran
marina: Staverno Nassaukade

The area reads as everyday-residential. The specific draws that make it so are the presence of a local supermarket, a butcher shop, and a neighborhood thai restaurant, which serve the daily needs of local inhabitants rather than catering to high-volume tourism."
De Baarsjes - Oud-West,Entire home/apt,130,3,76,0.82,1,69,4,"Greengrocer: Marco's Groentespeciaalzaak
Chemist: Etos
Garden: Tuin van Jan
Playground: Tuin van Jan
Restaurant: Café Cook
Bar: Proeflokaal Vesp

The area reads as everyday-residential. The specific draws that make it so are the presence of a local greengrocer, a chemist, and a community garden, which serve the daily needs of local residents rather than catering to tourists."
Watergraafsmeer,Entire home/apt,140,3,43,0.54,1,130,0,There are no places listed to categorize. The area does not contain any landmarks or residential draws from the provided list.
IJburg - Zeeburgereiland,Entire home/apt,135,5,83,0.8,1,344,2,"Place types: playground (1)

Area type: everyday-residential. There are no famous landmarks or major tourist attractions listed."
Osdorp,Private room,80,2,155,1.7,2,308,0,The area reads as everyday-residential. There are no specific draws or landmarks listed that would indicate a tourist-prominent location.
Bijlmer-Centrum,Private room,46,1,408,4.16,1,329,17,"nursing_home: De Venser

The area reads as everyday-residential, as it is defined by the presence of a nursing home rather than famous landmarks or tourist attractions."
Bos en Lommer,Entire home/apt,75,3,76,0.9,1,0,0,"School: Multatulischool

The area reads as everyday-residential, as the presence of a local school indicates a neighborhood focused on community and family life rather than tourist-oriented attractions."
Oud-Oost,Entire home/apt,295,4,10,0.19,1,325,0,"No places were provided in the list, so no nearby places can be named. The area cannot be classified as tourist-prominent or everyday-residential."
De Pijp - Rivierenbuurt,Entire home/apt,120,4,42,0.44,1,38,0,No places provided. The area reads as neither tourist-prominent nor everyday-residential.
Zuid,Entire home/apt,399,2,30,0.3,1,72,0,"clothes: Suitsupply

The area reads as everyday-residential because the specific draw is a retail store catering to professional and personal wardrobe needs rather than a famous landmark or tourist attraction."
Centrum-Oost,Entire home/apt,250,2,38,0.61,1,0,0,"Zoo: Artis
Restaurant: De Waterkant

The area reads as tourist-prominent. The specific draw is Artis, which is a famous landmark and major attraction."
Bos en Lommer,Private room,108,3,316,3.21,1,220,2,"Chemist: Etos
Indonesian fast_food: Warung Kamal Afhaalcentrum
French restaurant: Biladi
Greek restaurant: Rue de sevres
Sandwich fast_food: Wanica Exotics
Garden: Rue de sevres
Hairdresser: Mimi Kapsalon
Kiosk: Martins avondwinkel
Pet: Wanica Exotics

The area reads as everyday-residential. The specific draws that make it so are the presence of local services such as a chemist (Etos), a hairdresser (Mimi Kapsalon), and a neighborhood kiosk (Martins avondwinkel), which cater to the daily needs of local residents rather than international visitors."
De Baarsjes - Oud-West,Entire home/apt,155,2,3,0.03,1,263,1,"Doctors: Gezondheidscentrum Borgerstraat
Dentist: Tandartsengroep Borgerstraat
Optician: Pearle, Specsavers
Clothes: Norah

The area reads as everyday-residential. The specific draws that make it so are the presence of essential local healthcare services, including a health center, a dental practice, and multiple opticians, alongside a standard clothing retailer, which cater to the daily needs of local residents rather than tourists."
Oud-Noord,Private room,59,4,97,1.05,1,123,0,"garden: Moeshoek

The area reads as everyday-residential, as it lacks famous landmarks or tourist attractions."
Oud-Oost,Private room,140,1,124,1.37,3,247,0,"No places were provided in the list, so the area cannot be categorized."
Centrum-Oost,Entire home/apt,135,3,56,0.7,1,105,2,"viewpoint: Analogue
camera: Analogue

The area reads as everyday-residential. The specific draw is Analogue, which functions as a niche retail shop rather than a major landmark or tourist attraction."
Zuid,Entire home/apt,300,7,5,0.06,1,212,0,"tennis pitch: Tenniseiland
tennis sports_centre: Tenniseiland
outdoor_seating: Witte Huis
multi sports_centre: Tenniseiland
park: Park de Schinkeleilanden

The area reads as everyday-residential. The specific draws that make it so are Park de Schinkeleilanden and Tenniseiland, which are local recreational facilities rather than major tourist landmarks."
Noord-Oost,Private room,77,2,130,1.29,10,247,6,"Guest house: Gypsy Waggon

The area reads as everyday-residential. The specific draw is the Gypsy Waggon, which functions as a private lodging rather than a famous landmark or major tourist attraction."
Westerpark,Entire home/apt,220,1,7,0.18,1,0,0,"No places were provided in the list, so no nearby places can be named. The area cannot be categorized as tourist-prominent or everyday-residential based on the provided information."
De Pijp - Rivierenbuurt,Entire home/apt,285,1,64,0.9,1,44,5,"Bakery: Anook Bakehouse
Florist: Jonkmans Bloemenhandel
Massage: Massage Ying Ying
Breakfast restaurant: The Breakfast Club

The area reads as everyday-residential. The specific draws that make it so are the presence of a local bakery, a neighborhood florist, a massage studio, and a casual breakfast restaurant, which serve the daily needs of local residents rather than catering to tourists visiting famous landmarks."
De Baarsjes - Oud-West,Entire home/apt,150,2,75,0.82,1,148,5,"No places were provided in the list, so no nearby places can be named. The area cannot be categorized as tourist-prominent or everyday-residential based on the provided information."
Centrum-West,Entire home/apt,210,4,54,0.92,2,294,2,"doctors: A.N.M. van Grunsven & F.X.W.M. Hofman
bakery: Bunbun
marketplace: Noordermarkt

The area reads as tourist-prominent. The specific draw is Noordermarkt, a famous historic marketplace that attracts significant visitor traffic."
Centrum-West,Entire home/apt,153,2,66,0.91,1,0,0,"Hairdresser: Boudewijn Veltman, Hairtrends & Beauty
Art: The Palace
Restaurant: La Bettola
Brothel: De Denneboom
Convenience: De Buurman
Indian restaurant: Curry Express
Hostel: Ashoka
Thai restaurant: Ashoka
General: Gays & Gadgets
Pizza restaurant: Made in Sud
Pub: De Buurman
Gift: Gays & Gadgets
Hotel: Budget Hotel Tourist Inn, Hotel Tourist INN
Bicycle_rental: Hotelbikes, Hotelbikes

The area reads as tourist-prominent. The specific draws that make it so are the presence of multiple hotels and hostels like Budget Hotel Tourist Inn, Hotel Tourist INN, and Ashoka, as well as the availability of bicycle rentals through Hotelbikes, which are services primarily targeted at visitors rather than local residents."
Oud-Oost,Entire home/apt,150,2,42,0.48,1,85,0,"Restaurant: Bam Boa, Troef, Weesper
Outdoor seating: Bam Boa
Garden: Bam Boa

This area reads as everyday-residential. The specific draws are the local dining establishments Bam Boa, Troef, and Weesper, which serve as neighborhood gathering spots rather than major tourist landmarks or attractions."
De Pijp - Rivierenbuurt,Private room,70,2,279,2.99,1,332,4,"Garden: None
School: 6e Montessorischool Anne Frank

The area reads as everyday-residential. The specific draw is the 6e Montessorischool Anne Frank, which serves the local community and families living in the neighborhood."
Zuid,Private room,63,1,406,4.55,2,5,25,No places were provided to categorize. The area cannot be assessed.
Zuid,Entire home/apt,475,4,65,0.87,1,18,2,"Clothes: Ba&sh, Canada Goose, Cavallaro Napoli, Elisabetta Franchi, G-Star Raw, Profuomo, Stone Island, Woolrich
Hotel: Hotel Cornelisz, Hotel Museumzicht
Indonesian restaurant: Sama Sebo
Pub: De Posthoorn
Gift: The A'dam Giftshop
Jewelry: Schaap en Citroen

The area reads as tourist-prominent. The presence of Hotel Cornelisz, Hotel Museumzicht, and The A'dam Giftshop indicates a high volume of visitors, while the concentration of high-end fashion brands like Canada Goose, Stone Island, and Woolrich alongside a specialized jewelry store like Schaap en Citroen suggests a premium shopping district designed to cater to travelers and luxury consumers."
Centrum-Oost,Entire home/apt,397,3,48,0.62,1,2,4,"Art: Atelier Hop, Studio AnnaMora
Apartment: De Kleine Reus
Fitness_centre: Studio AnnaMora
Car_repair: Autobedrijf Wassenberg
Hotel: Euphemia Budget Hotel
Pharmacy: Alphega Apotheek
School: De Kleine Reus

The area reads as tourist-prominent. The specific draw that makes it so is the Euphemia Budget Hotel, which indicates a location catering to visitors and travelers."
De Pijp - Rivierenbuurt,Entire home/apt,220,3,62,0.67,1,188,0,"No places were provided in the list, so no nearby places can be named. The area cannot be categorized as tourist-prominent or everyday-residential based on the provided information."
Noord-West,Private room,75,2,245,2.63,1,286,8,"Playground: NoordRijk

The area reads as everyday-residential. The specific draw is the playground, which serves as a local recreational facility for residents."
Oud-Noord,Entire home/apt,180,3,95,1.02,1,53,4,"No places were provided in the list, so no nearby places can be named. The area cannot be categorized as tourist-prominent or everyday-residential based on the provided information."
Centrum-West,Private room,50,2,226,2.55,1,314,13,"Place types: playground (1)

The area reads as everyday-residential, as there are no famous landmarks or attractions nearby."
Westerpark,Entire home/apt,122,4,52,0.55,1,2,2,"Bar: De Nieuwe Anita
Restaurant: Robin Food Kollektief
Garden: None

The area reads as everyday-residential. The specific draws are De Nieuwe Anita and Robin Food Kollektief, which serve as local community-focused establishments rather than major tourist landmarks."
Oud-Oost,Entire home/apt,170,1,31,0.65,2,0,0,"school: Havo De Hof
restaurant: Mi-Gudu
information: Mi-Gudu
garden: Havo De Hof

The area reads as everyday-residential. The specific draws that make it so are the school and the restaurant, which serve the daily needs of the local community rather than catering to international visitors or sightseeing."
Oud-Noord,Entire home/apt,557,2,4,2.35,2,32,4,"marina: Sixhaven

The area reads as everyday-residential, as the specific draw is a functional marina rather than a famous landmark or tourist attraction."
De Pijp - Rivierenbuurt,Entire home/apt,400,2,35,0.4,1,363,4,"jewelry: Anna+Nina, All The Luck In The World
interior_decoration: Anna+Nina, Living-in By Romy's
clothes: 7115 by Szeki, Aiche, Baskèts, Brick Lane, Elcie, Everyday Hero, Felice, LOVE Stories Archive, Lois, NØLSON, Tally-ho
italian restaurant: Carletto, Spaghetteria
fashion_accessories: Verse
party: De Kinderfeestwinkel
shoes: Baskèts
cannabis_coffee_shop cannabis: Coffeeshop Club Media
hairdresser: Charlotte de Koomen, iV Salon
paint: Phoenix Verf- & Glasspecialisten
tattoo: Inkorporated
second_hand: Second Life
french restaurant: Zaza's

The area reads as everyday-residential. The specific draws that make it so are the presence of practical local services like Phoenix Verf- & Glasspecialisten, De Kinderfeestwinkel, and various hair salons and boutiques that cater to neighborhood residents rather than international sightseers."
Slotervaart,Private room,150,2,41,0.44,3,317,1,"park: Sloterpark

The area reads as everyday-residential, as the specific draw is Sloterpark, a large local recreational space primarily serving the surrounding neighborhood."
Noord-West,Entire home/apt,130,4,12,0.14,1,236,0,"Seafood: Viskraam
Picnic_table: Viskraam

The area reads as everyday-residential, as it lacks famous landmarks or major tourist attractions."
De Pijp - Rivierenbuurt,Entire home/apt,230,3,29,0.45,1,0,0,No places provided. The area cannot be categorized.
De Baarsjes - Oud-West,Entire home/apt,150,14,10,0.11,1,158,0,"Arts centre: De Nieuwe Liefde

The area reads as everyday-residential. The draw is De Nieuwe Liefde, which functions as a local cultural hub and community space rather than a major tourist landmark."
De Baarsjes - Oud-West,Entire home/apt,130,4,76,0.85,1,11,0,"Supermarket: Albert Heijn
Florist: Chris Bloemsierkunst, SandyBloemen.nl
Indonesian fast_food: Warung Kamal Afhaalcentrum
French restaurant: Rue de sevres
Greek restaurant: Biladi
Sandwich fast_food: Wanica Exotics
Optician: George de Jong Optiek
Indian restaurant: Tandoori 2 Go
Garden: None

The area reads as everyday-residential. The specific draws that make it so are the presence of a local supermarket, multiple florists, an optician, and a variety of casual, neighborhood-focused dining options like fast food and ethnic restaurants, which serve the daily needs of local residents rather than catering to tourists."
Oud-Noord,Entire home/apt,350,2,2,0.04,1,169,0,No places provided. The area cannot be categorized.
Bos en Lommer,Entire home/apt,75,3,19,0.45,1,0,2,"park: Erasmuspark
garden: Erasmuspark

The area reads as everyday-residential. The specific draw is Erasmuspark, which functions as a local recreational space for neighborhood residents rather than a major tourist landmark."
Oud-Oost,Entire home/apt,102,7,19,0.21,1,0,1,No places provided. The area cannot be categorized.
Zuid,Entire home/apt,466,3,20,0.26,1,7,1,"place_of_worship: Raw Aron Schuster Synagoge
garden: Jacob Obrechtplein
playground: Jacob Obrechtplein
table_tennis pitch: Jacob Obrechtplein

The area reads as everyday-residential. The specific draws are the local neighborhood garden and playground at Jacob Obrechtplein, which serve as community recreational spaces rather than major tourist landmarks."
Centrum-West,Entire home/apt,175,2,70,0.76,2,0,0,"thai restaurant: Ko Chang
supermarket: Albert Heijn
clothes: Kilo
marketplace: Lapjesmarkt
toys: Mechanisch Speelgoed
deli: Terre Lente
restaurant: Schout bij-nacht
furniture: La maison de sophie
beauty: The Browbarber
pet: Petopia
beverages: World of Nix
tailor: De Gouden Schaar
ramen restaurant: Hinata

The area reads as everyday-residential. The specific draws that make it so are the presence of a supermarket like Albert Heijn, a pet store like Petopia, a tailor like De Gouden Schaar, and a beauty service like The Browbarber, which serve the routine needs of local residents rather than catering to tourists."
Centrum-West,Entire home/apt,250,3,33,0.43,1,37,4,"dancing_school: Buenos Aires Tango, Pasito, The Loft
studio: Kim Sutherland
music_school: Kim Sutherland
arts_centre: Zeni's Art
gallery: Zeni's Art

The area reads as everyday-residential. The specific draws are local specialized instruction and community-focused creative spaces rather than famous landmarks or tourist attractions."
Oud-Oost,Entire home/apt,170,12,7,0.27,1,0,0,"soccer pitch: Cruyff Court
fitness fitness_station: Cruyff Court
garden: Cruyff Court
table_tennis pitch: Cruyff Court
playground: Cruyff Court

The area reads as everyday-residential. The specific draw is the Cruyff Court, which serves as a local recreational facility for residents rather than a famous landmark or tourist attraction."
De Pijp - Rivierenbuurt,Private room,79,2,66,0.92,1,277,7,"sports_centre: Sportcentrum De Pijp, Sporthal de Pijp
soccer pitch: None
multi sports_centre: None
garden: None

The area reads as everyday-residential. The specific draws that make it so are Sportcentrum De Pijp and Sporthal de Pijp, which serve as local community facilities rather than major tourist landmarks."
De Baarsjes - Oud-West,Private room,89,3,57,0.73,1,166,5,"Restaurant: Ashoka kinker
Copyshop: Orange Copy
Falafel fast_food: Dr. Falafel
Coffee cafe: Cafecito

The area reads as everyday-residential. The specific draws that make it so are the presence of a local copy shop, a neighborhood coffee cafe, and casual dining options like a falafel shop and a local restaurant, which serve the daily needs of residents rather than catering to tourists."
Zuid,Entire home/apt,215,2,21,0.28,1,183,0,"bubble_tea cafe: Best Bread Boba
kiosk: De Bijbel: het woord van God
restaurant: Solo
theatre: Concertgebouw
park: Museumplein
picnic_table: Museumplein
parking_exit: Museumplein

The area reads as tourist-prominent. The specific draws that make it so are the Concertgebouw and Museumplein, which are world-renowned cultural landmarks that attract significant international tourism."
Slotervaart,Private room,35,2,286,3.09,3,128,10,"park: Rembrandtpark

The area reads as everyday-residential, as the primary draw is Rembrandtpark, a local green space that serves the daily recreational needs of the surrounding neighborhood rather than functioning as a major tourist landmark."
Centrum-Oost,Private room,101,2,66,0.72,1,11,42,"Restaurant: Los Argentinos, Poké Perfect, NICOLE
Guest_house: Amsterdam Pipe Shop
Japanese restaurant: Japan Inn, Moshi Moshi
Apartment: Granada
Greek restaurant: Zorba de Griek
Kebab fast_food: Karma Kebab
Hostel: Orfeo Hostel
Bar: Bourbon Street Music Club
Shoe_repair: Luk's schoenmakerij
Biergarten: De Biertuin Prinsengracht
Museum: Pijpenkabinet
Tobacco: Hostel Centre

The area reads as tourist-prominent. The specific draws that make it so are the presence of multiple hostels, a music club, and specialized museums like the Pijpenkabinet and Amsterdam Pipe Shop, which cater to visitors rather than local residents."
Centrum-West,Entire home/apt,180,2,38,0.68,1,37,0,"cafe: Café Tabac
artwork: None
information: None

The area reads as everyday-residential, as it lacks the high-profile landmarks or major tourist attractions that would define a tourist-prominent destination."
De Pijp - Rivierenbuurt,Entire home/apt,200,3,38,0.42,1,0,0,"arts_centre: CC Amstel, Cinetol
theatre: Cultuurhuis Diamantslijperij
library: OBA CC Amstel
artwork: Revisiting The Cullinan
garden: Archive by Pestana
restaurant: Archive by Pestana
hotel: Pestana Amsterdam Riverside

The area reads as everyday-residential. The specific draws are the local community-focused facilities such as OBA CC Amstel, CC Amstel, and Cultuurhuis Diamantslijperij, which serve as neighborhood hubs rather than major tourist landmarks."
De Baarsjes - Oud-West,Entire home/apt,165,2,25,0.28,1,154,0,"supermarket: Bilder & de Clercq
cafe: Mook pancakes
ice_cream: IJscuypje
florist: Flowers & Powers

The area reads as tourist-prominent. The specific draws that make it so are Mook pancakes and IJscuypje, which are popular destinations for visitors."
De Baarsjes - Oud-West,Entire home/apt,120,4,42,0.48,1,0,2,"Florist: Bloemenhoek Admiraal
Cafe: Buongiorno Espressobar
Outdoor_seating: Buongiorno Espressobar
Garden: Natuurtuin Slatuinen
Outpost: Gorillas

The area reads as everyday-residential. The specific draws are the local florist Bloemenhoek Admiraal, the neighborhood cafe Buongiorno Espressobar, the community garden Natuurtuin Slatuinen, and the grocery delivery outpost Gorillas, which serve the daily needs of local residents rather than catering to tourists."
Oud-Oost,Entire home/apt,120,2,15,0.18,1,127,0,No places provided. The area cannot be categorized.
De Baarsjes - Oud-West,Entire home/apt,199,2,16,0.3,1,0,4,"Pub: l'Affiche

The area reads as everyday-residential, as it is defined by a single local pub, l'Affiche, rather than famous landmarks or tourist attractions."
Oud-Noord,Entire home/apt,99,3,58,0.65,1,8,1,"School: Taalschool

The area reads as everyday-residential, as the presence of a school indicates a focus on local community and family services rather than tourism."
