neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,surroundings_summary
Oud-Noord,Entire home/apt,557,2,4,2.35,2,32,4,"The area is located near Sixhaven. This proximity to a marina implies that the rental price level is higher than average, as waterfront access and boat facilities are typically considered premium amenities that attract higher-income residents."
De Pijp - Rivierenbuurt,Entire home/apt,400,2,35,0.4,1,363,4,"The area is surrounded by a dense concentration of high-end and boutique establishments such as 7115 by Szeki, Aiche, Anna+Nina, Baskèts, LOVE Stories Archive, and Zaza's. The presence of specialized shops like All The Luck In The World, Elcie, and Studio Nash, alongside dining options like Spaghetteria and Carletto, suggests a curated, trendy retail environment. This indicates that the rental price level is significantly higher than average. The concentration of fashion-forward brands, upscale jewelry, and interior decoration stores implies a premium location that attracts affluent consumers, driving up commercial and residential real estate costs in the immediate vicinity."
Slotervaart,Private room,150,2,41,0.44,3,317,1,"The area is located near Sloterpark. This proximity to a large green space typically implies a higher than average rental price level, as access to recreational areas and natural scenery is a highly desirable amenity in urban environments that often commands a premium."
Noord-West,Entire home/apt,130,4,12,0.14,1,236,0,"Nearby is Viskraam. This implies a lower than average rental price level because the presence of a casual seafood stand and a picnic table suggests a relaxed, informal neighborhood rather than a high-end commercial district."
De Pijp - Rivierenbuurt,Entire home/apt,230,3,29,0.45,1,0,0,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the available information."
De Baarsjes - Oud-West,Entire home/apt,150,14,10,0.11,1,158,0,"De Nieuwe Liefde is located nearby. This implies that the rental price level is higher than average because this venue is situated in a culturally vibrant and historic part of Amsterdam, which is a highly desirable and sought-after location for residents."
De Baarsjes - Oud-West,Entire home/apt,130,4,76,0.85,1,11,0,"The area features a diverse mix of specialty shops and dining options, including Albert Heijn, Biladi, Chris Bloemsierkunst, George de Jong Optiek, Rue de sevres, SandyBloemen.nl, Tandoori 2 Go, Wanica Exotics, and Warung Kamal Afhaalcentrum. This collection of businesses implies a rental price level that is higher than average. The presence of specialized establishments like Chris Bloemsierkunst, SandyBloemen.nl, and George de Jong Optiek suggests a neighborhood with a focus on premium services and lifestyle retail, which typically correlates with more affluent residential demand and higher property values."
Oud-Noord,Entire home/apt,350,2,2,0.04,1,169,0,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the available information."
Bos en Lommer,Entire home/apt,75,3,19,0.45,1,0,2,"The area is located near Erasmuspark. This suggests a rental price level that is higher than average, as proximity to a large, well-maintained green space like Erasmuspark is a highly desirable amenity that typically increases property values and demand in urban residential markets."
Oud-Oost,Entire home/apt,102,7,19,0.21,1,0,1,"There are no named places provided in the list to describe, so it is impossible to determine the rental price level based on the available information."
Zuid,Entire home/apt,466,3,20,0.26,1,7,1,"Nearby are Jacob Obrechtplein and Raw Aron Schuster Synagoge. The presence of a well-maintained public garden like Jacob Obrechtplein and a historic place of worship like Raw Aron Schuster Synagoge suggests that the rental price level is higher than average. These landmarks indicate a prestigious, established, and desirable residential neighborhood, which typically commands premium property values and higher rents."
Centrum-West,Entire home/apt,175,2,70,0.76,2,0,0,"The area features a variety of specialized shops and dining options, including Albert Heijn for groceries, Lapjesmarkt for a traditional marketplace experience, and De Gouden Schaar for tailoring. Dining and retail choices are diverse, ranging from Ko Chang and Hinata to Terre Lente, Schout bij-nacht, and La maison de sophie, alongside specialty stores like Mechanisch Speelgoed, Petopia, The Browbarber, World of Nix, and Kilo.

This mix of specialized, boutique-style retail and diverse dining options implies that the rental price level is higher than average. The presence of niche establishments like The Browbarber, World of Nix, and curated dining spots like Terre Lente suggests an affluent, trendy neighborhood that attracts residents willing to pay a premium for convenience, lifestyle services, and high-quality local amenities."
Centrum-West,Entire home/apt,250,3,33,0.43,1,37,4,"The area features Buenos Aires Tango, Pasito, and a second location of Buenos Aires Tango, which are all categorized as dancing schools. Additionally, the neighborhood includes Kim Sutherland, a studio, as well as a music school, an arts centre, and Zeni's Art, which is a gallery. The presence of these specialized creative and artistic institutions suggests that the rental price level is higher than average. This is because such establishments often cluster in culturally vibrant, gentrified, or trendy urban districts that attract a demographic willing to pay a premium for proximity to arts, dance, and music education."
Oud-Oost,Entire home/apt,170,12,7,0.27,1,0,0,"Nearby there is a Cruyff Court. The presence of this facility suggests that the area likely has a lower than average rental price level because such public recreational infrastructure is typically integrated into residential neighborhoods designed for community accessibility rather than high-end, exclusive developments."
De Pijp - Rivierenbuurt,Private room,79,2,66,0.92,1,277,7,"The area features Sportcentrum De Pijp and Sporthal de Pijp. These facilities indicate a higher than average rental price level because they are located in De Pijp, a highly desirable and densely populated neighborhood in Amsterdam known for its premium housing market, trendy atmosphere, and central location."
De Baarsjes - Oud-West,Private room,89,3,57,0.73,1,166,5,"Nearby there is Ashoka kinker, Cafecito, Dr. Falafel, and Orange Copy. This combination of a restaurant, a coffee cafe, a falafel fast_food spot, and a copyshop implies a rental price level that is likely lower than average. The presence of accessible, convenience-oriented services like Orange Copy and Dr. Falafel suggests a neighborhood catering to students or budget-conscious residents rather than an upscale commercial district."
Zuid,Entire home/apt,215,2,21,0.28,1,183,0,"Nearby locations include the cultural landmark Concertgebouw and the expansive public space Museumplein, alongside the dining and retail options Best Bread Boba, De Bijbel: het woord van God, and Solo. This area likely commands a rental price level significantly higher than average. The presence of major cultural institutions like Concertgebouw and the iconic Museumplein indicates a prestigious, high-traffic, and central urban location, which typically drives up property values and demand for residential space in the immediate vicinity."
Slotervaart,Private room,35,2,286,3.09,3,128,10,"The area is located in the immediate vicinity of Rembrandtpark. This proximity to a significant green space implies that the rental price level is likely higher than average, as urban parks are highly desirable amenities that increase the value and attractiveness of residential properties in their surrounding neighborhoods."
Centrum-Oost,Private room,101,2,66,0.72,1,11,42,"The area is surrounded by a variety of dining and entertainment options including De Biertuin Prinsengracht, Bourbon Street Music Club, Japan Inn, Moshi Moshi, Poké Perfect, Karma Kebab, Los Argentinos, Granada, and Zorba de Griek. Essential services and cultural spots nearby include Amsterdam Pipe Shop, Pijpenkabinet, Luk's schoenmakerij, NICOLE, and tobacco shops, alongside accommodations such as Hostel Centre and Orfeo Hostel. This mix of popular social venues, specialized retail, and central lodging implies that the rental price level is higher than average. The presence of well-known establishments like De Biertuin Prinsengracht and Bourbon Street Music Club suggests a highly desirable, high-traffic location in a central urban district, which typically commands a premium for both commercial and residential properties."
Centrum-West,Entire home/apt,180,2,38,0.68,1,37,0,"The area features Café Tabac, which is the only listed point of interest. The presence of a cafe typically suggests a neighborhood with a social, urban atmosphere. Because this establishment is a singular amenity, there is insufficient information to definitively categorize the rental price level as higher or lower than average. Without additional context or a higher density of surrounding services, the rental market impact remains neutral."
De Pijp - Rivierenbuurt,Entire home/apt,200,3,38,0.42,1,0,0,"The area features several cultural and hospitality landmarks, including CC Amstel, Cinetol, Cultuurhuis Diamantslijperij, and OBA CC Amstel, which serve as local hubs for arts and literature. Additionally, the presence of upscale establishments such as Pestana Amsterdam Riverside, Archive by Pestana, and the public artwork Revisiting The Cullinan suggests a refined and well-maintained urban environment. These amenities imply that the rental price level in this area is higher than average. The concentration of high-end hotel infrastructure, premium cultural venues, and curated public art indicates a desirable, gentrified location that attracts visitors and residents with higher disposable income, thereby driving up demand and rental costs."
De Baarsjes - Oud-West,Entire home/apt,165,2,25,0.28,1,154,0,"Nearby are Bilder & de Clercq, Flowers & Powers, IJscuypje, and Mook pancakes. This collection of establishments suggests a higher than average rental price level. The presence of a specialized concept store like Bilder & de Clercq, a boutique florist such as Flowers & Powers, a popular artisanal ice cream chain like IJscuypje, and a trendy dining spot like Mook pancakes indicates an upscale, gentrified neighborhood that attracts affluent residents and tourists, which typically drives up local property values and rental costs."
