index,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,city,surroundings_summary
1414,,Centrum-West,52.36655,4.89039,Entire home/apt,250,3,66,0.98,3,355,1,holland,"steak_house restaurant: Black and Blue
pub: Taboo, Taboo Kantine
chinese restaurant: Dynasty, Ta-Hwa
french restaurant: El Encanto, Soho
japanese restaurant: Genki
restaurant: Garlic Queen, Middl Eat, Sichuan Food
bar: Bar BLEND
clothes: Artem Bodywear
barbecue restaurant: Seoul Sista
japanese cafe: Duke of Tokyo
hairdresser: Studio 2
italian restaurant: Il Primo, La Casa di Madonna
soft_drugs cafe: Easy Times
tattoo: LunaNoire
ramen restaurant: Tokyo Ramen Takeichi
mediterranean restaurant: Maria to go
american restaurant: The Big Apple
gift: Blik
christmas: Christmas Palace
marketplace: Bloemenmarkt
indonesian restaurant: Sampurna
pancakes fast_food: Old Dutch Pancake House
cheese: Old Amsterdam Cheese Store

The area reads as tourist-prominent. The specific draws that make it so are the Bloemenmarkt, the Christmas Palace, and the Old Amsterdam Cheese Store, which are major landmarks that attract high volumes of visitors."
703,,Centrum-West,52.37713,4.8821,Entire home/apt,225,3,38,0.49,1,195,2,holland,"interior_decoration: Studio Nelson Carrilho
mexican restaurant: Rosario
italian_pizza restaurant: La Perla
clothes: Babylon Vintage, Kimzou, Second Hand by Sam Sam, Serekunda, Vindit Vintage, piselli boutique
confectionery: Het Oud-Hollandsch Snoepwinkeltje
cafe: Café de Tuin
pizza restaurant: La Fiorita
arts_centre: What Art Can Do
restaurant: Assaggi, Donna Sofia
pub: Bar Pif
sushi restaurant: Tanoshii sushi
jewelry: Gems
fries fast_food: kleine kanjer
hairdresser: t' Pareltje
beauty: The Beauty Bar
gallery: Oogst
school: Theo Thijssenschool
fast_food: Smoked crispy bacon sandwich house
italian restaurant: Yan Yan
spanish restaurant: La Oliva Pintxos y Vinos

The area reads as everyday-residential. While there are several boutiques and dining options, the presence of a local school (Theo Thijssenschool) and a variety of small, specialized shops rather than major global tourist attractions or famous landmarks suggests a neighborhood focused on local daily life."
3125,,Centrum-West,52.3743,4.89216,Private room,70,3,235,6.17,1,148,57,holland,"american cafe: Corner House Hotel Cafe
restaurant: Barraka, La Cantina, La Casa, Lunch & Dinner, Mr. Crab, Seafood Grill, St. Paul's
cannabis: Amsterdam Seed Center, Tulashi
tattoo: Tattoo & Art
pancake restaurant: De Pannenkoekerij
pub: De Drie Fleschjes
gift: De Drie Monnikjes, Rainbow
clothes: Pop Up Store Marcous Vintage, Rejoes
bar: De Nieuwe Pilserij
hotel: Dam Square Inn
asian restaurant: Takumi Ramen
beauty: Sense
bicycle_rental: Green Budget Bikes
fabric: Original Dutch Fabric, Quilt Shop
photo: Museumfoto
breakfast cafe: De Drie Graefjes
massage: Dal Migliore
italian restaurant: Eethuis Sie-Joe

The area reads as tourist-prominent. The presence of Dam Square Inn, Green Budget Bikes, Museumfoto, and various gift shops indicates a high volume of visitors centered around major city landmarks."
2418,,Centrum-West,52.37447,4.89204,Private room,80,1,153,3.46,1,44,50,holland,"american cafe: Corner House Hotel Cafe
restaurant: Barraka, Eethuis Sie-Joe, Kaagman & Kortekaas, La Cantina, Lunch & Dinner, Mr. Crab, Seafood Grill
cannabis: Amsterdam Seed Center, St. Paul's
pub: De Drie Fleschjes
gift: De Drie Graefjes, Tulashi
clothes: Rainbow
bar: De Nieuwe Pilserij
hotel: Dam Square Inn
asian restaurant: Takumi Ramen
beauty: Sense
bicycle_rental: Green Budget Bikes
fabric: Original Dutch Fabric, Quilt Shop
french restaurant: La Casa
argentinian restaurant: St George
photo: Museumfoto
breakfast cafe: De Drie Monnikjes
massage: Rejoes
italian restaurant: Dal Migliore

The area reads as tourist-prominent. The specific draws that make it so are the presence of Dam Square Inn, which indicates a central location near major city landmarks, and the inclusion of Museumfoto and Green Budget Bikes, which cater specifically to visitors exploring the city."
2829,,Centrum-West,52.371284,4.897311,Entire home/apt,176,3,16,0.38,2,13,0,holland,"Garden: Walenpoortje
Attraction: de Wallen, Oost-Indisch Huis, Het Kleinste Huis
Place_of_worship: Waalse kerk
Tea: Het Kleinste Huis
Restaurant: Barbecue, Jade House, Samrat, Tasteful
Jewelry: Q&Q
Books: Kok
Drug_paraphernalia: PsiloCybe CBD&SonjaDelight
Burger fast_food: Burger Zaken
Fast_food: Fabel Friet
Clothes: Capsicum, Love Stories Archive, Stetson
Pub: Cafe De Pool, Cafe Tapvreugd, Tapvreugd
Bag: De Grote Tas
Cafe: Number One
Smartshop: PsiloCybe CBD&SonjaDelight, Chipsy King
Ice_cream: Dolce & Gelato Bio

The area reads as tourist-prominent. The presence of famous landmarks such as de Wallen and the Oost-Indisch Huis, combined with specialized tourist-focused shops like Het Kleinste Huis, indicates a high volume of visitors rather than a purely everyday-residential neighborhood."
398,,De Pijp - Rivierenbuurt,52.35582,4.89172,Entire home/apt,400,2,35,0.4,1,363,4,holland,"jewelry: Anna+Nina, All The Luck In The World
interior_decoration: Anna+Nina, Living-in By Romy's
clothes: 7115 by Szeki, Aiche, Baskèts, Brick Lane, Elcie, Everyday Hero, Felice, LOVE Stories Archive, Lois, NØLSON, Tally-ho
italian restaurant: Carletto, Spaghetteria
fashion_accessories: Verse
party: De Kinderfeestwinkel
shoes: Baskèts
cannabis_coffee_shop cannabis: Coffeeshop Club Media
hairdresser: Charlotte de Koomen, iV Salon
paint: Phoenix Verf- & Glasspecialisten
tattoo: Inkorporated
second_hand: Second Life
french restaurant: Zaza's

The area reads as everyday-residential. The specific draws that make it so are the presence of practical local services like Phoenix Verf- & Glasspecialisten, De Kinderfeestwinkel, and various hair salons and boutiques that cater to neighborhood residents rather than international sightseers."
1044,,De Pijp - Rivierenbuurt,52.35668,4.89999,Private room,66,1,637,8.57,2,65,44,holland,"shoes: Tjin's
post_office: Daniele Dentici
bakery: Broodje Popov
beauty: Me Gorgeous!, The Sunflower
south_african pub: Lion's Head Restaurant & Brewery
sushi restaurant: Tewatashi
doityourself: Praxis
turkish fast_food: Have A Roll
fast_food: Exotica
middle_eastern fast_food: Rodja Hummus & More
vacant: Lavina
indian fast_food: Roopram Roti
massage: Veranda Wellness & Spa
garden: KIKIBOBA
tailor: Libas Kledingreparatie & Stomerij
billiards bar: Café Biljart Van Wou
pet: Allrepair7
sandwich fast_food: Taste Like Chicken, Warung Mini Van Wou
dutch restaurant: Heemelrijck
tobacco: Tabak- & Vapeshop Van Wou
cafe: Badeta Koffiebranders
surinamese fast_food: Tjin's
coffee: Badeta Koffiebranders
ramen restaurant: Otemba

The area reads as everyday-residential. The specific draws that make it so are the presence of essential local services such as a post office, a tailor, a doityourself store, and a pet shop, combined with a high density of neighborhood-focused eateries like a bakery, various fast food options, and a local cafe."
4015,,De Pijp - Rivierenbuurt,52.35675,4.90002,Hotel room,80,2,33,1.47,3,354,15,holland,"bakery: Broodje Popov
beauty: Me Gorgeous!, The Sunflower
south_african pub: Lion's Head Restaurant & Brewery
sushi restaurant: Tewatashi
doityourself: Praxis
turkish fast_food: Have A Roll
fast_food: Tjin's
vacant: Exotica
indian fast_food: Roopram Roti
massage: Veranda Wellness & Spa
garden: Heemelrijck
public_bookcase: KIKIBOBA
tailor: Libas Kledingreparatie & Stomerij
billiards bar: Café Biljart Van Wou
pet: Lavina
sandwich fast_food: Taste Like Chicken, Warung Mini Van Wou
dutch restaurant: (None listed)
tobacco: Tabak- & Vapeshop Van Wou
cafe: (None listed)
coffee: Badeta Koffiebranders
lighting: Gloria Verlichting
ramen restaurant: Otemba

The area reads as everyday-residential. The specific draws that make it so are the presence of practical neighborhood services such as Libas Kledingreparatie & Stomerij, Praxis, Tabak- & Vapeshop Van Wou, and Lavina, alongside a variety of local dining options like Broodje Popov, Badeta Koffiebranders, and Tjin's that serve the daily needs of local residents rather than catering to major tourist landmarks."
2040,,Centrum-West,52.37973,4.89378,Entire home/apt,175,2,34,0.62,1,20,7,holland,"Attraction: Kobalt
Supermarket: Daily Fresh
Wine: Chabrol Wines
French restaurant: Bistrot Neuf
Bakery: Jojo Sweet
Indian restaurant: Namaskar, Rangoli
Cannabis: Coffeeshop Green Place, Luba
Gift: It's a present, Schumich
Clothes: Daskas, Miss B by la Grotte, Rumors, Vintage Island
Juice: Jay's Juices
Bag: Zipper
Newsagent: Cigo
Mobile_phone: Haarlemmer electronica
Fast_food: Las Marias
Restaurant: Mono
Cheese: 't Kaaspunt
Cafe: Jongejans
Regional cafe: Jongejans
Garden: Kobalt

The area reads as everyday-residential. While there is one attraction, the presence of a supermarket, bakery, newsagent, mobile phone repair shop, and multiple clothing and specialty food stores like the cheese shop and wine merchant indicates a neighborhood primarily serving the daily needs of local residents rather than a hub for tourists."
1079,,Oostelijk Havengebied - Indische Buurt,52.363846,4.934911,Entire home/apt,200,3,28,0.74,1,0,0,holland,"school: Bilal Aben Rabah, De Indische Buurtschool
clothes: Kwiyasse, Nour, Things I like things I love
houseware: Zeeman
restaurant: The Meets
flooring: Victoria Carpet Center
supermarket: Java Markt, Saïdi
convenience: Late Night Liquorstore
indian restaurant: Mirchi
italian restaurant: Bar Ristorante Gallizia
hairdresser: Barbershop Murat, La Belleza, Sfifa Azharaa
seafood: Cape de l'eau, El Pescado
indonesian restaurant: Indonesia Indah
gift: Café Insulinde
tobacco: Tabakshop Java
ice_cream: IJs van Oost
kebab fast_food: 50 Shades of Döner
garden: Sushito
regional restaurant: Café Insulinde
pub: Café Insulinde

The area reads as everyday-residential. It is defined by local amenities serving daily needs, such as the supermarkets Java Markt and Saïdi, the schools Bilal Aben Rabah and De Indische Buurtschool, and various neighborhood-focused service providers like Barbershop Murat and Victoria Carpet Center, rather than major tourist landmarks."
2248,,Centrum-Oost,52.36465,4.89798,Entire home/apt,440,2,21,1.25,2,0,6,holland,"coffee_shop cafe: Zuivere Koffie
clothes: Es, Kindred Spirits, Samsøe Samsøe, Sézane, The Amsterdam Basement, We Are Labels, Wolf Ware, Salon de Lingerie
french restaurant: De Juwelier, Quartier Latin
asian restaurant: Wowcrab
restaurant: Alfonso, Brug34, Naturel
cafe: Social Coffee
wine: Mochi
indian restaurant: Meghna
vacant: Ace
jewelry: Güney's Delights
juice restaurant: The Healthy Spot
turkish restaurant: Ali Ocakbaşı
tattoo: The Preacher's son tatoo shop
coffee_shop cannabis: Boerejongens
pub: None

The area reads as tourist-prominent. The presence of Boerejongens, a well-known cannabis dispensary, along with high-end fashion boutiques like Sézane and Samsøe Samsøe, indicates a location that caters to visitors and shoppers rather than everyday-residential needs."
4533,,Centrum-West,52.37023,4.88183,Private room,149,1,39,2.51,3,113,14,holland,"beauty: Amsterdam Nail Art Studio, La Savonnerie
clothes: Daniele Dentici, Tenure De Nimes, Xantippe
toys: Kleine Eland
pub: Cafe de Eland
playground: gr8acht
artwork: Johnny Jordaan, Johnny Meijer, Manke Nelis, Mien en ""Bolle"" Jan Froger, Tante Leen
school: 14e Montessorischool De Jordaan
supermarket: Albert Heijn
alcohol: Gall & Gall
cannabis: Coffeeshop Johnny
chemist: Etos
gallery: Galerie Bart
ramen restaurant: Fou Fow Ramen, Gifu Ramen Bar
shoes: Ensō
bakery: SUE Bites Bar
ice_cream: IJscuypje
books: Xantippe

The area reads as everyday-residential. The presence of a local school (14e Montessorischool De Jordaan), a supermarket (Albert Heijn), a chemist (Etos), and a playground (gr8acht) indicates a neighborhood designed for daily living rather than a tourist-prominent zone. While the artwork (Johnny Jordaan, Johnny Meijer, Manke Nelis, Mien en ""Bolle"" Jan Froger, Tante Leen) highlights local cultural history, these are neighborhood-specific commemorations rather than major international tourist landmarks."
4159,,Centrum-West,52.3765,4.89715,Entire home/apt,570,7,2,0.18,4,339,2,holland,"bureau_de_change: Lindbergh
convenience: Damrak Supermarket, Jumbo City
ticket: Tours & Tickets
confectionery: Jamin
information: Tours & Tickets J. van Beek B.V.
gift: Amsterdam Experience, Holland Experience, Macau, Shirt Factory
jewelry: Guecca
perfumery: Parfumerie Omnia
clothes: Chaplin, Shirt Factory
restaurant: Crêpes Restaurant, Pastabar
museum: Venustempel Sexmuseum
adult_gaming_centre: Macau
growshop: Seed Bank
chocolate: Leonidas
mobile_phone: Phone Point
cannabis: Prix d'Ami
fast_food: Pasta Pizza Crėpes Panini

The area reads as tourist-prominent. The specific draws that make it so are the presence of multiple dedicated tourist information and ticket centers like Tours & Tickets and Lindbergh, as well as attractions such as the Amsterdam Experience, Holland Experience, and the Venustempel Sexmuseum."
3838,,De Baarsjes - Oud-West,52.36637,4.86799,Entire home/apt,140,3,7,0.25,1,13,1,holland,"Place types:
mobile_phone: KPN, Tele2
hairdresser: Dorita's hair products
telecommunication: Odido, Entertainment Exchange
money: Geldmaat
butcher: Kema Vlees
newsagent: Primera
friture fast_food: FEBO
beauty: Angels beauty style, Change laserclinic
bank: SNS Bank
mexican fast_food: Salsa shop
clothes: Church of Labels, Denim City
e-cigarette: Vaperoutlet
gift: themakerstore
bicycle: Recycle
marketplace: Ten Katemarkt
yogurt restaurant: Yogurt Barn
sushi restaurant: Meneer Temaki
food_court: Foodhallen
attraction: De Hallen

The area reads as tourist-prominent. The specific draws that make it so are De Hallen and Foodhallen, which serve as major cultural and culinary landmarks that attract significant visitor traffic."
3223,,Centrum-West,52.37206,4.8972,Private room,112,1,191,5.37,2,215,84,holland,"clothes: Saint Morris, Love Stories Archive, Love Experience
growshop: Sensi Seeds Bank
museum: Hash Marihuana & Hemp Museum, Tobacco Experience
guest_house: B&B 1680
music: Red Light Records
gift: Red Light Souvenirs, Hemp Story
drug_paraphernalia: Hemp Gallery
erotic: Hanky Panky, Love Experience
information: Cannabis College
cafe: Mr. Crumbs
hotel: Princehof, Heart of Amsterdam
social_facility: Adiuvantes
restaurant: Mr. Crumbs
bar: The Pint
brothel: de Wallen
tattoo: Hanky Panky
attraction: Bike Rental

The area reads as tourist-prominent. The specific draws that make it so are the Hash Marihuana & Hemp Museum, Tobacco Experience, Cannabis College, and de Wallen, which are major landmarks associated with the city's unique tourism profile."
5441,,Centrum-West,52.37397,4.89924,Entire home/apt,396,1,1,1.0,7,329,1,holland,"attraction: de Wallen
social_facility: Leger des Heils
brothel: Rooms belonging to My Red Light Foundation, Casa Rosso
museum: Erotisch Museum, Red Light Secrets
bar: American Bar-bq, Black Tiger Bar, New Castle Bar, Old Sailor, Excalibur
adult_gaming_centre: Casino City, Redlight Casino
erotic: Bananenbar, Erotic Shop
pub: Cafe Pleinzicht
fast_food: Grill-Bar Baby
restaurant: Anco
place_of_worship: The Tabernacle
tattoo: Star Shop
kebab fast_food: Baba Kebab

The area reads as tourist-prominent. The specific draws that make it so are de Wallen, Erotisch Museum, Red Light Secrets, and the high concentration of adult-oriented establishments like Casa Rosso and Bananenbar."
1240,,Centrum-West,52.37778,4.88709,Entire home/apt,745,3,18,0.29,1,5,0,holland,"Place types:
Pub: Café de Klepel, Twee Prinsen
Vacant: At Letting
Restaurant: Bistro-Brasserie Bleu, Oslo, Prinsheerlijk, Simz Exotic Food, Vennington
Gift: studio ROOF
Interior_decoration: Square feet
Clothes: Comme des Garcons Pocket, Kikkie, Margriet Nannings, Margriet Nannings 50% store, Oska
French restaurant: Bistro-Brasserie Bleu
Pastry: De laatste kruimel
Arts_centre: De Rode Hoed
Shoes: Tommy Page
Tobacco: Vintage detective
Deli: Simz Exotic Food
Hairdresser: Prinsheerlijk
Stationery: Likestationery

The area reads as tourist-prominent. The presence of De Rode Hoed, a well-known cultural and event venue, along with popular dining spots like De laatste kruimel and Café de Klepel, draws significant foot traffic from visitors exploring the city center."
3786,,De Baarsjes - Oud-West,52.36609,4.86708,Entire home/apt,150,1,3,0.11,1,0,0,holland,"clothes: Church of Labels, Solleveld, Ulivoto Fashion
hairdresser: Imperial barbershop
burger fast_food: McDonald's
fast_food: Best doner & snacks
health_food: Holland & Barrett
coffee_shop cafe: Doppio Espresso, Five Ways Coffee
money: Geldmaat
convenience: B&B feestartikelen, Primera, Tropische Winkel Rustem
butcher: Kema Vlees
newsagent: Energy Dictator
baby_goods: Baby Boem
turkish bakery: Dunya Firini
photo: Tex Leder
gift: B&B feestartikelen
seafood: Volendam Vishandel
pastry: MultiVlaai
marketplace: Ten Katemarkt, Asian-caribbean Market

The area reads as everyday-residential. The specific draws that make it so are the presence of essential local services including a marketplace (Ten Katemarkt), a butcher (Kema Vlees), a newsagent (Energy Dictator), and multiple convenience stores, which cater to the daily needs of local residents rather than tourists."
